	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74
10	-0.7455577	0.77506876	0.6361912	0.22978574	1.3873055	-1.3861047	-0.62844855	0.80862457	-0.010787187	0.5008664	-0.49791318	-1.1288129	0.9771819	-0.7201285	0.70485324	0.19696553	-0.43654928	-0.8510971	0.8656262	-0.025047913	-0.25573465	-0.0058695553	0.07542672	-0.27548587	-0.5945578	-0.587002	0.15146562	-0.34417862	0.67522395	-0.03361778	0.067257494	-0.04485607	-0.38535866	-0.4963637	0.103814825	-0.20041236	0.60116893	0.0053661168	-0.6618552	0.19841667	0.37240726	-0.010655152	0.88654846	0.70539325	0.94036776	0.07827002	0.38219705	-0.22986712	-1.1459278	-0.6198809	0.79933864	-0.11832148	-0.8559482	-0.025288854	-0.40100345	-0.61310524	-0.06108906	0.6565453	-0.52971816	-0.2597571	0.33918506	-0.16664498	0.078181125	-0.55051243	-1.0413382	-0.5682666	-0.75465167	-0.32645252	-2.0141277	-0.08428499	0.78634495	-0.3853194	1.1645981	0.5867541	0.6172739
11	-0.6809265	0.70611787	0.59437823	0.21754591	1.2547204	-1.2757323	-0.5875927	0.7420378	-0.027736485	0.449568	-0.46778297	-1.0277998	0.91007984	-0.6506263	0.6448557	0.18530275	-0.38725072	-0.77631825	0.80968827	-0.034420304	-0.24073297	-0.008431184	0.049997218	-0.26301703	-0.54733723	-0.5473545	0.12533917	-0.31813172	0.6274706	-0.032984424	0.052757677	-0.04353047	-0.34205428	-0.42642942	0.07921985	-0.17916276	0.54912066	0.011027072	-0.60219806	0.19783813	0.33365297	-0.015881805	0.79897416	0.6377232	0.86577475	0.07089731	0.3541384	-0.21984938	-1.0644147	-0.55741084	0.73570406	-0.111918636	-0.78960025	-0.025595577	-0.36038515	-0.57404155	-0.040515404	0.6050497	-0.49620125	-0.24240261	0.32575226	-0.15551239	0.071561754	-0.5203239	-0.9551825	-0.5187704	-0.70041156	-0.30084664	-1.8497989	-0.10180917	0.71702915	-0.36943153	1.0520339	0.5381175	0.5641192
12	-0.74574006	0.7698117	0.62590545	0.22340822	1.394865	-1.3830646	-0.6384992	0.8340399	-0.02432502	0.48947257	-0.4878221	-1.097314	1.0137844	-0.7137217	0.7066719	0.21583478	-0.4188915	-0.8322069	0.8772048	-0.030148087	-0.29385787	0.0010525594	0.073006004	-0.28668275	-0.57134384	-0.6414055	0.11821003	-0.3528158	0.6817429	-0.011903113	0.0728315	-0.027941879	-0.38625547	-0.48747954	0.11384483	-0.2040669	0.6128748	0.037205003	-0.6559723	0.20875286	0.35333952	-0.0050673652	0.8913398	0.69038534	0.95970374	0.06560825	0.42038593	-0.22908252	-1.1719463	-0.5957475	0.7960984	-0.09321033	-0.8679888	-0.046293486	-0.42877677	-0.6201865	-0.056477915	0.6583506	-0.5667547	-0.29099432	0.34893286	-0.18639648	0.08869881	-0.5858359	-1.0290431	-0.57758695	-0.7507235	-0.3234253	-2.0150871	-0.1291849	0.829637	-0.39443883	1.15022	0.5841292	0.6203961
13	-0.70377433	0.74333197	0.6094045	0.22313602	1.3003037	-1.3336153	-0.6178594	0.75990605	-0.014515521	0.46973225	-0.48017126	-1.0695959	0.931546	-0.6635423	0.6632171	0.18181433	-0.40827572	-0.8048986	0.8291551	-0.030386506	-0.23454623	-0.008573786	0.06656933	-0.267319	-0.5598104	-0.55842346	0.13994966	-0.3153543	0.63232076	-0.042469084	0.05187036	-0.055452414	-0.34396756	-0.44526163	0.09860992	-0.18703172	0.57537377	0.006344566	-0.623316	0.18513238	0.35338527	-0.017189415	0.83880484	0.66423196	0.8960476	0.0659018	0.3636094	-0.2241308	-1.089474	-0.5845801	0.7502618	-0.10936542	-0.8102498	-0.015892772	-0.37245515	-0.5957429	-0.05710706	0.6162791	-0.5043986	-0.2475965	0.32180563	-0.15088606	0.077292286	-0.515167	-0.98279876	-0.53384364	-0.71128	-0.32098377	-1.9104019	-0.084528655	0.7467316	-0.36442658	1.1045523	0.5624936	0.59222525
14	-0.59088236	0.7306229	0.556264	0.20535296	1.2157387	-1.187704	-0.53568166	0.68858546	0.0063670455	0.43413672	-0.4203681	-0.9952934	0.8147396	-0.6234125	0.62059784	0.14890754	-0.35600266	-0.72422355	0.7635228	-0.03774439	-0.16136384	-0.015938934	0.09254405	-0.2482044	-0.5086052	-0.46784776	0.13799572	-0.3046935	0.5495126	-0.040671527	0.062713526	-0.042930175	-0.31079015	-0.41285738	0.071994826	-0.21140486	0.5254602	-0.008052784	-0.5702174	0.13528237	0.35593137	-0.012458494	0.8147496	0.6371165	0.8264991	0.03586713	0.32170668	-0.17816615	-0.9788889	-0.56234616	0.70905256	-0.13278097	-0.73449004	-0.0063215713	-0.3184527	-0.5213025	-0.06088931	0.57221365	-0.4473895	-0.16153772	0.32557175	-0.14705722	0.069369785	-0.4454665	-0.9326268	-0.52565885	-0.6121955	-0.26357907	-1.7268784	-0.027058482	0.6406794	-0.3382771	1.0358602	0.50841093	0.52806824
15	-0.6907039	0.76941943	0.6091865	0.23622723	1.3661124	-1.3484383	-0.6064197	0.8063921	-0.018535819	0.4734674	-0.49421862	-1.0868728	0.95482254	-0.71382296	0.674963	0.19870633	-0.40785182	-0.80172503	0.867003	-0.028381983	-0.23709671	-0.017209575	0.0914264	-0.27174222	-0.5603207	-0.5710484	0.1213859	-0.32043505	0.6424865	-0.022066848	0.09370012	-0.056089807	-0.38291085	-0.4843841	0.100039676	-0.22043172	0.5802514	0.0010904837	-0.65584	0.18171073	0.37261415	-0.00138098	0.8979794	0.6858576	0.93207574	0.043582916	0.3925762	-0.2220631	-1.1352841	-0.6137813	0.7845976	-0.10937292	-0.8475156	-0.013465378	-0.39065436	-0.60615885	-0.05242644	0.6566542	-0.5405375	-0.24252637	0.3572068	-0.17410986	0.07147567	-0.5361366	-1.0202333	-0.5916401	-0.72238743	-0.30517143	-1.9611454	-0.07094355	0.757319	-0.38991487	1.1621257	0.5770515	0.58682173
16	-0.69808245	0.76157606	0.6377983	0.22914593	1.3454919	-1.3560836	-0.61092377	0.7929776	-0.019096982	0.48915976	-0.49071163	-1.09671	0.96754235	-0.69325584	0.6981553	0.20133838	-0.40712363	-0.8261467	0.8657392	-0.035133906	-0.23478435	-0.02351565	0.08166849	-0.2912606	-0.56676704	-0.56815547	0.13880962	-0.34976855	0.63196677	-0.022438293	0.052774668	-0.05701418	-0.3678627	-0.45421398	0.09193488	-0.19717304	0.5959879	0.011705454	-0.62743086	0.1767939	0.3754514	-0.008393897	0.87520766	0.7000399	0.93430626	0.07952909	0.3643086	-0.20814663	-1.1033878	-0.6128321	0.7826703	-0.14406087	-0.8407057	-0.0032086668	-0.38306352	-0.59485567	-0.066412576	0.6498955	-0.5210384	-0.2386136	0.34949744	-0.18435077	0.07080623	-0.5217482	-1.0220995	-0.5786375	-0.71622276	-0.31571934	-1.9733392	-0.08415984	0.7583478	-0.4034779	1.1553601	0.5739876	0.6223379
17	-0.7654405	0.824333	0.6658621	0.22366185	1.4071082	-1.4299948	-0.6397896	0.82103956	0.009853321	0.5055135	-0.5089121	-1.1886786	0.9681279	-0.735823	0.71929	0.20108585	-0.45016184	-0.89494824	0.89838094	-0.022739442	-0.21003054	-0.026576795	0.099758424	-0.28784066	-0.6105669	-0.55628645	0.19255157	-0.34988657	0.65461093	-0.036653213	0.06281715	-0.07407913	-0.38753885	-0.49274087	0.1154662	-0.18725325	0.61151433	-0.032452635	-0.67509264	0.17238036	0.41663662	-0.026370892	0.91624004	0.74930555	0.9639122	0.08110905	0.38659486	-0.22110122	-1.1383361	-0.641653	0.8026448	-0.1519982	-0.84638757	0.01089506	-0.4111625	-0.6174325	-0.094098166	0.6797594	-0.5250813	-0.24456888	0.34117803	-0.15722626	0.08384238	-0.51983964	-1.0785922	-0.58957964	-0.75500906	-0.34169534	-2.0323455	-0.04858751	0.7966466	-0.363016	1.2164339	0.5964972	0.65508884
18	-0.73770416	0.8077389	0.65419436	0.25401428	1.3956524	-1.4042559	-0.6456956	0.8194026	-0.018195787	0.50605947	-0.5176305	-1.1403248	0.9990026	-0.70998985	0.7142981	0.19939728	-0.4231957	-0.8618335	0.8879878	-0.04705156	-0.25234804	-0.010853457	0.07913571	-0.3032335	-0.58961034	-0.60412294	0.14106984	-0.3512701	0.6758965	-0.038628943	0.051041882	-0.041277632	-0.36327904	-0.46036392	0.09045592	-0.21242759	0.61285895	0.021964127	-0.65617496	0.17786464	0.364862	-0.011492064	0.9112698	0.7194054	0.9707376	0.089297056	0.39331353	-0.23346369	-1.1690849	-0.610825	0.81799823	-0.11627805	-0.8589594	-0.01459945	-0.39533353	-0.6191599	-0.067745194	0.66780174	-0.5306958	-0.24170253	0.35711586	-0.16729343	0.08859767	-0.56601685	-1.0598865	-0.5795229	-0.7523974	-0.33521494	-2.0440478	-0.1031828	0.79676396	-0.41472188	1.1811163	0.59900725	0.64323175
19	-0.6180127	0.7474234	0.57743704	0.20587538	1.2675202	-1.2320896	-0.5644629	0.7174095	-0.0062458543	0.4534676	-0.42503217	-1.0170904	0.86565214	-0.65815586	0.6469205	0.15312518	-0.37469485	-0.74979943	0.78705215	-0.032590978	-0.18706103	-0.0058120796	0.088763	-0.24449435	-0.53348684	-0.50211173	0.13262433	-0.31698003	0.5797787	-0.038373906	0.0662996	-0.037096534	-0.32710713	-0.43625936	0.077515304	-0.22498046	0.5485192	-0.0009682928	-0.5949953	0.16159785	0.35096258	-0.008530544	0.84346426	0.6562741	0.8593425	0.03607141	0.3247222	-0.19435377	-1.0307267	-0.58303297	0.7406672	-0.13794167	-0.7763169	-0.023277638	-0.3310947	-0.5500291	-0.052977964	0.58580786	-0.4757516	-0.18314761	0.33826864	-0.15981776	0.057578225	-0.47775975	-0.9680366	-0.5368573	-0.64166856	-0.26880583	-1.8016022	-0.028762553	0.6782013	-0.35375398	1.067388	0.53497607	0.537705
