	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50
10	-1.7304877	0.8133138	-0.8936945	-1.2160337	0.17330886	-1.1232064	-2.0567749	-1.1817801	0.8936951	-1.5949485	0.32539633	1.0363102	-1.2731651	-1.0773627	-0.23472156	-1.8620429	-1.161277	-0.79174113	2.672311	-0.10291651	-1.4982101	1.4496689	0.4482102	-0.28386933	0.95514005	0.33176568	0.35030872	-1.0852603	-0.6641884	-2.3591902	-0.10529989	1.070841	-0.6941456	1.9087394	1.6576753	-0.99666286	0.3501001	1.3534297	1.2280897	-0.11987529	-1.3398665	0.025512386	-1.016192	-0.4570913	-1.910547	-0.060962763	0.20933905	-1.9104245	0.604227	-2.041426	-1.607201
11	-1.5886575	0.7383138	-0.8282863	-1.1321621	0.14434853	-1.0189936	-1.8924465	-1.0750678	0.8371748	-1.4929888	0.3125955	0.96406406	-1.1473172	-1.0124625	-0.2197753	-1.7263107	-1.0711375	-0.7141102	2.453091	-0.09644206	-1.3973624	1.3427587	0.4270711	-0.25361744	0.8600559	0.30284446	0.31812254	-1.007811	-0.62429476	-2.2035677	-0.09543272	0.99220246	-0.6403718	1.7244016	1.5435228	-0.9382663	0.3182159	1.2657474	1.1179975	-0.097998045	-1.2391577	-0.0040811803	-0.94062775	-0.4398182	-1.7660722	-0.04772302	0.19338615	-1.7833354	0.53612816	-1.8945141	-1.4652562
12	-1.7085729	0.814815	-0.90768856	-1.2654201	0.15821204	-1.0994766	-2.0305917	-1.1743301	0.91131985	-1.6316279	0.36047563	1.0916467	-1.2278204	-1.0541092	-0.27757436	-1.8204641	-1.1981906	-0.7511618	2.6236682	-0.067372434	-1.4890052	1.4774486	0.38971943	-0.2759614	0.9772593	0.34237507	0.26753792	-1.0858055	-0.65501773	-2.370378	-0.098608114	1.031883	-0.7228055	1.781072	1.6485953	-0.9405003	0.29050693	1.4323379	1.2231694	-0.08201447	-1.4215573	0.035928156	-1.0231253	-0.39980564	-1.8727767	-0.020816514	0.26853856	-1.9645838	0.6004055	-1.9996686	-1.540432
13	-1.6122535	0.7696432	-0.86105806	-1.147709	0.16692883	-1.0502974	-1.9563893	-1.1176634	0.80724853	-1.5122521	0.29226646	1.0096253	-1.2173603	-1.0211278	-0.22687528	-1.7683672	-1.1031795	-0.7596723	2.513109	-0.10227851	-1.420796	1.3906953	0.41822878	-0.2421623	0.93547386	0.3008619	0.31468013	-1.0400081	-0.65482146	-2.260981	-0.106637254	1.0122343	-0.67026955	1.7956288	1.5923675	-0.9281306	0.32359582	1.3227278	1.2000881	-0.09947913	-1.2798127	0.014452129	-0.9563933	-0.43126178	-1.8163146	-0.04028687	0.17907175	-1.8405772	0.56697416	-1.9252415	-1.4907067
14	-1.5332471	0.7197857	-0.7985921	-1.0624654	0.15764707	-0.97922605	-1.843726	-1.0481745	0.76568	-1.4235243	0.30304104	0.8811883	-1.1087259	-1.0127171	-0.20693299	-1.6567659	-1.0424986	-0.69431984	2.4086173	-0.08805387	-1.3453252	1.271912	0.43100435	-0.25138527	0.8540359	0.31763986	0.33448416	-0.9682891	-0.6197461	-2.1348984	-0.11857025	0.94597715	-0.63913226	1.7001716	1.4497709	-0.88558507	0.3621864	1.2306489	1.0893112	-0.053533893	-1.1864232	0.023974603	-0.9212155	-0.4030463	-1.7470407	-0.0830605	0.21758701	-1.6737485	0.50349015	-1.884614	-1.4643376
15	-1.7150484	0.8096508	-0.86568356	-1.2061126	0.13252723	-1.0665107	-2.0239925	-1.1678884	0.88258386	-1.5947402	0.2956901	0.96146077	-1.2028208	-1.0649601	-0.2483935	-1.7942317	-1.1580994	-0.7554139	2.623939	-0.08597153	-1.4986482	1.3672901	0.4659862	-0.25802338	0.9222858	0.3506131	0.36502603	-1.0968207	-0.6244632	-2.31463	-0.12449419	1.0525118	-0.71579367	1.8053602	1.6051191	-0.9669137	0.34823924	1.2865652	1.1539773	-0.0864465	-1.3223215	0.03405984	-1.0149103	-0.43256146	-1.9025147	-0.08441739	0.2536168	-1.8672584	0.55431795	-1.993277	-1.5401028
16	-1.6951277	0.7897334	-0.90868634	-1.1999915	0.14532727	-1.1003909	-2.005414	-1.1796172	0.9011883	-1.5868524	0.31540012	1.0155312	-1.2267259	-1.0610996	-0.25995165	-1.8056594	-1.1370387	-0.746742	2.617696	-0.096551105	-1.4524487	1.4098601	0.4651927	-0.2732543	0.9408134	0.36902606	0.3338213	-1.0734417	-0.6636642	-2.3346415	-0.102791846	1.0420339	-0.69233096	1.8436717	1.6361376	-0.9500908	0.35848764	1.3341905	1.2067127	-0.09433875	-1.3412001	0.028145816	-1.0102232	-0.40501785	-1.8882658	-0.05911273	0.216996	-1.8657526	0.5594521	-2.009847	-1.586451
17	-1.7959555	0.8192292	-0.9280756	-1.2899529	0.18261458	-1.1588237	-2.157712	-1.2179784	0.88721454	-1.6669172	0.34434554	1.1083282	-1.2856234	-1.1532457	-0.29275596	-1.9103601	-1.2364945	-0.8017994	2.806889	-0.079899594	-1.5552529	1.4922076	0.47639877	-0.26159954	1.0185148	0.35271016	0.33724123	-1.151357	-0.6881459	-2.4744546	-0.103016965	1.0812222	-0.7766444	1.9421862	1.7349477	-1.019972	0.3615413	1.430345	1.2739598	-0.13201734	-1.4589571	0.029328808	-1.1063882	-0.46650103	-1.9612128	-0.05419778	0.24902306	-2.0147312	0.6300728	-2.0819395	-1.6239232
18	-1.7596147	0.79498005	-0.92786527	-1.2445403	0.17471337	-1.1682935	-2.0946224	-1.1989474	0.8848506	-1.6241933	0.35052067	1.0613961	-1.2806183	-1.1334342	-0.26058382	-1.8943341	-1.1917365	-0.8065374	2.740768	-0.114473954	-1.5234174	1.4791639	0.4830848	-0.29043207	0.977065	0.33826956	0.35675713	-1.1063187	-0.6953239	-2.413853	-0.08265519	1.0633801	-0.71534437	1.958159	1.6856431	-1.0104249	0.36123723	1.3850906	1.2684202	-0.12136462	-1.3996332	-0.007610129	-1.0662202	-0.45100224	-1.9463475	-0.055640083	0.20770472	-1.9438031	0.59064674	-2.079397	-1.6253853
19	-1.5922563	0.7475128	-0.82515776	-1.1033076	0.17592922	-1.0219548	-1.9167023	-1.0973498	0.7929527	-1.4841564	0.3003782	0.9278909	-1.1643635	-1.0330565	-0.21230392	-1.7371057	-1.0758566	-0.72708577	2.5132062	-0.08900775	-1.4082586	1.3209901	0.45522255	-0.25361225	0.8924711	0.31788248	0.35066625	-1.0113984	-0.637699	-2.1999242	-0.13008474	1.0047245	-0.6651853	1.7765672	1.5255414	-0.9236403	0.36904132	1.2720257	1.1291976	-0.063100465	-1.2182468	0.026626123	-0.9569898	-0.43686706	-1.833921	-0.07513494	0.20835482	-1.7490386	0.5322388	-1.9571267	-1.5057666
20	-1.6602778	0.7601817	-0.8540013	-1.172246	0.14977296	-1.0609988	-1.9770781	-1.1332427	0.8356799	-1.5423925	0.3071036	0.97920674	-1.186955	-1.0811268	-0.24603373	-1.7954901	-1.1234981	-0.74575585	2.5802135	-0.09011484	-1.445891	1.372262	0.45806873	-0.25226733	0.9137865	0.32657018	0.34553963	-1.0393487	-0.65903324	-2.2806458	-0.112730354	1.0208334	-0.6856193	1.8243495	1.584478	-0.9559136	0.36355704	1.3145566	1.1815643	-0.07585205	-1.3042002	0.007351613	-0.9925537	-0.4405026	-1.8689024	-0.07182807	0.22983702	-1.8318341	0.5507514	-1.9971066	-1.5503608
21	-1.6057532	0.7630139	-0.87212354	-1.1561052	0.17333038	-1.0238537	-1.9312125	-1.1110265	0.8163732	-1.540632	0.27997458	0.96795046	-1.1787543	-1.0429848	-0.2754922	-1.7762423	-1.1261724	-0.7273234	2.5338814	-0.09688032	-1.4443437	1.3431779	0.4546229	-0.22667657	0.9009985	0.33726215	0.32585865	-1.0435282	-0.6374544	-2.2520542	-0.118440636	1.0150964	-0.6858662	1.800716	1.5588472	-0.9134314	0.37125957	1.3048598	1.1568401	-0.06399461	-1.2832019	0.018359357	-1.0034568	-0.415165	-1.860724	-0.08192493	0.22495878	-1.7986875	0.5395825	-1.9491389	-1.5133249
22	-1.7032254	0.79858	-0.90091765	-1.2180402	0.1658936	-1.1083874	-1.9873952	-1.1781511	0.8701483	-1.5897326	0.3056376	1.0310432	-1.2658365	-1.042882	-0.26692992	-1.8631463	-1.1867168	-0.75798935	2.6182902	-0.106051	-1.486887	1.4368999	0.4282964	-0.26994336	0.95814437	0.30855352	0.2988347	-1.0658798	-0.6775495	-2.2748754	-0.12699388	1.0671155	-0.67080885	1.9085809	1.616236	-0.9335881	0.35574558	1.3661622	1.2467841	-0.07531787	-1.3378725	0.0493833	-1.0210644	-0.4058864	-1.9213041	-0.068527795	0.24282913	-1.9005909	0.5926332	-2.0284944	-1.6037955
23	-1.5897852	0.72427756	-0.837667	-1.0926951	0.1419608	-1.0221432	-1.9077536	-1.0916595	0.7864301	-1.4604274	0.3027402	0.9228591	-1.1541287	-1.0431901	-0.20601164	-1.7108812	-1.0602905	-0.7264458	2.4916735	-0.09212601	-1.3752391	1.328149	0.44418433	-0.26167655	0.8883976	0.31281054	0.33956042	-1.0109959	-0.66008914	-2.2045865	-0.113195054	0.9559779	-0.64693147	1.7705715	1.5152096	-0.91417545	0.36500764	1.2679219	1.1509923	-0.076210774	-1.2414672	0.0031171604	-0.941177	-0.41901895	-1.7834824	-0.06959192	0.1987942	-1.7521626	0.5207632	-1.9415629	-1.5109925
