	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47
10	-0.38937277	-0.34228718	-0.16105737	-1.5955609	0.4252575	0.25818852	0.65761423	1.134744	2.4551692	1.6269258	-0.10959383	0.9670828	-0.3072279	0.042054158	-1.1024307	-1.2555765	0.95054615	0.5164221	0.8660196	2.3251553	-1.2957653	-0.3016763	-0.41839346	-0.7594645	-0.8472095	1.1771543	-0.9796541	-0.042118076	-1.4713905	0.69396937	-1.7970463	0.6654057	-0.36995116	-0.21987547	-0.47418898	0.27531028	-0.76615196	-1.030313	1.6524175	-1.0859238	1.4271384	-0.44439074	-0.096756235	0.50923216	0.50299245	-0.5690291	-1.6060506	-0.83283186
11	-0.32869673	-0.29341435	-0.14998642	-1.4689153	0.37643623	0.25726804	0.5910744	1.0236038	2.2605796	1.4808925	-0.097061455	0.89676166	-0.28385645	0.04608863	-0.9969831	-1.1458535	0.88952965	0.48319864	0.7923871	2.1431234	-1.1777027	-0.2724427	-0.39508286	-0.7068895	-0.78099024	1.0513239	-0.8679019	-0.046306852	-1.3435999	0.63987154	-1.6571397	0.5946783	-0.32380635	-0.21369927	-0.4339867	0.23400405	-0.6758706	-0.96049744	1.5230979	-0.96994954	1.3065102	-0.39711764	-0.098769784	0.47381258	0.46695265	-0.5048852	-1.4677559	-0.7663558
12	-0.3732493	-0.30642584	-0.17889641	-1.6203791	0.4415937	0.28637677	0.6681777	1.1444399	2.4681284	1.6232778	-0.11599619	0.9451458	-0.28267366	0.04904588	-1.1185145	-1.2340827	0.9544323	0.49186212	0.8157987	2.2694654	-1.3117526	-0.34041148	-0.42301044	-0.7810563	-0.80257523	1.111509	-0.9416958	-0.09337097	-1.4985162	0.7012642	-1.7936274	0.6737237	-0.36477745	-0.22306626	-0.4667784	0.2614977	-0.69560057	-1.0383542	1.6117982	-1.0373503	1.4252459	-0.48230398	-0.10009465	0.4541211	0.54257786	-0.5447313	-1.5186518	-0.8162229
13	-0.36853078	-0.3203867	-0.14374581	-1.5195781	0.4033281	0.25106442	0.6279045	1.0708246	2.3342216	1.5302416	-0.104103014	0.9170484	-0.29068846	0.045812182	-1.0450865	-1.1833048	0.9238767	0.47606704	0.8168796	2.1977253	-1.2310044	-0.2876216	-0.39505976	-0.7193028	-0.793324	1.1051663	-0.91022635	-0.045287754	-1.4070798	0.65827256	-1.710978	0.634432	-0.342961	-0.21526878	-0.44051972	0.2551475	-0.7020663	-0.99831325	1.5652395	-0.99482787	1.3574423	-0.41963422	-0.09608601	0.48135173	0.49199387	-0.5201821	-1.4865735	-0.7915606
14	-0.29216602	-0.23504235	-0.14519843	-1.3860037	0.35822746	0.29131216	0.5662441	0.9828052	2.156808	1.4625356	-0.096108876	0.8857206	-0.21931143	0.048507296	-0.9563247	-1.0877736	0.89414924	0.4547315	0.782742	2.0475466	-1.1170125	-0.27618718	-0.35585392	-0.6714961	-0.74236035	1.0128843	-0.8211469	-0.06744957	-1.3209612	0.6364984	-1.5804012	0.54624766	-0.270612	-0.18116154	-0.45185047	0.2686055	-0.60036886	-0.8871297	1.4806615	-0.8991727	1.2213877	-0.41234496	-0.12607183	0.4221165	0.4330655	-0.4812676	-1.4361185	-0.7137155
15	-0.35094297	-0.3203155	-0.17244369	-1.5741879	0.43536794	0.31100836	0.6564759	1.1148908	2.434896	1.6553097	-0.1394924	0.93726647	-0.24799185	0.07850579	-1.0781018	-1.2299392	0.9829261	0.4871711	0.85153115	2.29169	-1.3000652	-0.34584764	-0.39401636	-0.7824911	-0.8133154	1.1204921	-0.95665365	-0.059395425	-1.4897776	0.7092464	-1.788088	0.6606247	-0.35179105	-0.2115076	-0.46560025	0.32977688	-0.6914287	-1.0166053	1.6600696	-1.0513568	1.3849132	-0.47389257	-0.11713806	0.46608296	0.46891728	-0.53624535	-1.5631082	-0.82526696
16	-0.358445	-0.3129297	-0.1777146	-1.5857601	0.41998503	0.28475237	0.6561203	1.1097256	2.4160316	1.6008224	-0.1195089	0.937015	-0.28027177	0.057950344	-1.0953254	-1.207627	0.95757353	0.48665103	0.8435238	2.2634478	-1.2850419	-0.31920287	-0.40383673	-0.7483589	-0.80864775	1.123909	-0.94988084	-0.08333775	-1.4561797	0.68553567	-1.7706823	0.6452768	-0.34685275	-0.20462053	-0.4788711	0.28649703	-0.6998022	-1.0202477	1.6234215	-1.0160879	1.3813554	-0.47237942	-0.11073714	0.47203243	0.4944313	-0.53655386	-1.5491302	-0.8222923
17	-0.37469137	-0.3279411	-0.19992515	-1.6423867	0.42533484	0.27182	0.688447	1.1522019	2.5485802	1.677699	-0.11777775	0.99034554	-0.3192403	0.04537007	-1.1118342	-1.2897089	0.9779726	0.55162734	0.9273966	2.4294221	-1.3248767	-0.31421992	-0.40050206	-0.77573884	-0.9074659	1.1784831	-1.0053488	-0.054619275	-1.5102553	0.70722294	-1.8642067	0.65743923	-0.38078597	-0.2369354	-0.54442054	0.2889069	-0.7987498	-1.0601665	1.7141303	-1.1384096	1.4607295	-0.46271938	-0.11747147	0.5227632	0.50740486	-0.60076845	-1.7405818	-0.86837417
18	-0.3874816	-0.32848677	-0.17889461	-1.6283926	0.4234309	0.27892804	0.6714944	1.151791	2.4891167	1.6374149	-0.11967483	0.96951467	-0.30797672	0.05206866	-1.124411	-1.2698679	0.9834719	0.5058	0.8773407	2.3279462	-1.3038821	-0.3122682	-0.42630792	-0.744012	-0.8509467	1.166312	-0.9736723	-0.05817126	-1.4971721	0.6986745	-1.8267239	0.6690162	-0.37518966	-0.20655665	-0.48781887	0.27498457	-0.7479601	-1.0391381	1.6521788	-1.0627161	1.4212173	-0.47001868	-0.13054809	0.5002355	0.5224158	-0.5698952	-1.597679	-0.85455126
19	-0.30498907	-0.26412013	-0.15164492	-1.4371041	0.37769037	0.2895916	0.584391	1.0175877	2.2239244	1.5018406	-0.09406636	0.9259562	-0.23364128	0.040666312	-1.0092767	-1.1265559	0.9172675	0.46793622	0.817626	2.1171818	-1.1708145	-0.26430467	-0.38226718	-0.6914123	-0.7605168	1.0771637	-0.8716559	-0.07222034	-1.3660411	0.64121735	-1.6339937	0.5592357	-0.27540463	-0.19254255	-0.4579165	0.26574337	-0.6343116	-0.93401355	1.5416641	-0.9261482	1.2737799	-0.42664334	-0.12547885	0.45220485	0.44668838	-0.49825987	-1.4720628	-0.7517966
