	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14
23	0.77495813	-3.5708086	3.6332238	4.308385	1.2835859	0.14708681	4.525168	-6.357925	2.7464724	-1.2177595	0.95344645	0.8312998	1.9347459	1.5291157	-2.0212882
24	0.76895404	-3.67096	3.7738001	4.46938	1.3526748	0.11540432	4.734159	-6.6081266	2.8300557	-1.2138658	0.9824318	0.86819303	2.0083225	1.5785706	-2.106473
25	0.77841276	-3.5921478	3.6532586	4.392489	1.3125597	0.11188138	4.606101	-6.4587784	2.7784328	-1.1832796	0.9434286	0.8617724	1.9802396	1.5787122	-2.054526
26	0.78945464	-3.7775908	3.8467083	4.5987277	1.371082	0.10039356	4.8907475	-6.8320084	2.9020967	-1.2194281	0.9672134	0.89703983	2.064042	1.6492449	-2.1768968
27	0.8574818	-3.9318714	4.055741	4.8136954	1.4300951	0.13903618	5.104942	-7.081995	3.0308454	-1.2977788	1.0593385	0.9194531	2.1603582	1.7180973	-2.3266766
28	0.7462998	-3.5019877	3.5405905	4.250234	1.2496617	0.111600205	4.4575105	-6.2387686	2.698128	-1.161168	0.93686926	0.8121212	1.911587	1.5279617	-1.9656554
29	0.73065263	-3.3720682	3.4578822	4.110184	1.2493021	0.119788796	4.347511	-6.085251	2.608326	-1.1214008	0.8840213	0.81795746	1.8501538	1.4813714	-1.9592389
30	0.7836907	-3.6109724	3.7268515	4.3987565	1.3446676	0.13115557	4.6749454	-6.526048	2.7895312	-1.2117287	0.9560366	0.8689049	1.9849588	1.5676928	-2.1211598
31	0.8381252	-3.8086035	3.8535569	4.6610813	1.3867542	0.11613996	4.87943	-6.8664055	2.9440572	-1.2509637	0.97360796	0.9223142	2.1056805	1.6813309	-2.1855767
32	0.7969718	-3.6920874	3.7672727	4.5212383	1.3451806	0.1016364	4.781586	-6.673226	2.8442564	-1.2029802	0.95784074	0.87716293	2.039576	1.6146268	-2.1515398
33	0.7733514	-3.5599313	3.6587765	4.3282037	1.2696778	0.13831358	4.6020174	-6.3924274	2.7251513	-1.1783049	0.9433982	0.8174004	1.9283303	1.5356525	-2.1024432
34	0.75150836	-3.4026105	3.473132	4.1176076	1.2441075	0.1574403	4.2797904	-6.0113587	2.6466336	-1.1857538	0.95771164	0.8030031	1.8587624	1.4866089	-1.9014387
35	0.841177	-3.7939606	3.888509	4.643966	1.3731611	0.14288156	4.8764143	-6.7955775	2.932063	-1.2658038	1.0277785	0.8894297	2.0879948	1.6640862	-2.212668
36	0.77477103	-3.6005406	3.689287	4.4114504	1.3304355	0.111704186	4.66952	-6.5235643	2.784906	-1.1704706	0.93401414	0.87608486	1.9819694	1.5964981	-2.1030462
37	0.79180586	-3.7288494	3.7960677	4.5535574	1.3435688	0.10395603	4.8209095	-6.733967	2.8626063	-1.2030619	0.9573486	0.87941664	2.040016	1.6240298	-2.1587987
38	0.77946156	-3.735296	3.8259206	4.5065928	1.3552312	0.13554172	4.791105	-6.7071295	2.86353	-1.2454567	0.9814444	0.8736934	2.013979	1.5903851	-2.1341438
39	0.7340995	-3.3955324	3.486106	4.130621	1.2563463	0.13216119	4.333976	-6.0652556	2.6347835	-1.1530391	0.9341681	0.8095347	1.8622422	1.4788034	-1.9324303
