	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
10	-1.7705241	-0.5569591	-0.8663526	-0.25162813	-0.5946002	-0.01907196	1.5042111	-1.8802639	-2.0102332	-0.1978686	2.2939372	0.7818795	0.8009647	-0.19303669	0.6150785	0.96884435	0.033010334	1.4323668	-0.27108824	-0.93945545	-0.55676746	0.96251637	-1.6168308	1.3839965	1.4668574	0.95577586	-2.6524596	-0.7041229	-0.87211853	-1.7033743
11	-1.6418673	-0.48691425	-0.7915681	-0.23889293	-0.54091537	-0.026965648	1.3738474	-1.7242421	-1.8416166	-0.19146582	2.091034	0.72406656	0.75826526	-0.1610433	0.5789604	0.89720094	0.025358075	1.2907361	-0.25699854	-0.85162914	-0.496954	0.882309	-1.4846468	1.2767212	1.3533152	0.8850435	-2.4339232	-0.6656853	-0.8154387	-1.5250038
12	-1.7500736	-0.5695604	-0.8585208	-0.23298165	-0.6093187	-0.047090527	1.4579778	-1.8623179	-2.0199244	-0.17412888	2.2182913	0.7946191	0.8049307	-0.16611941	0.60792655	0.95441824	0.008280762	1.3551941	-0.26863673	-0.9073392	-0.5265439	0.9560438	-1.562697	1.378674	1.44777	0.9207328	-2.592344	-0.68936133	-0.8436959	-1.6746799
13	-1.6912551	-0.49225155	-0.80530363	-0.2360302	-0.56304306	-0.020331772	1.4100964	-1.7740707	-1.9067603	-0.19043547	2.1786745	0.7439573	0.7841591	-0.15989135	0.57005864	0.93046534	0.024089044	1.3398101	-0.25096765	-0.88859725	-0.50696754	0.92651254	-1.521794	1.2997788	1.4118874	0.9127397	-2.507364	-0.68671566	-0.8178396	-1.5761583
14	-1.6417255	-0.490649	-0.7844576	-0.25310993	-0.45870987	-0.021509346	1.3583218	-1.6606737	-1.7938389	-0.22155997	2.0561225	0.65271246	0.7654267	-0.14394754	0.59291625	0.85125643	0.037634052	1.2754257	-0.2137424	-0.8190146	-0.4696413	0.92576396	-1.4588609	1.2723937	1.3263098	0.8264813	-2.3850272	-0.6398819	-0.8498331	-1.5124799
15	-1.7217293	-0.5437144	-0.8355831	-0.25931352	-0.58732486	-0.020032149	1.4906802	-1.8582456	-1.9878271	-0.1778845	2.2834816	0.7714227	0.81046426	-0.19182763	0.5933423	0.9676341	0.030883702	1.4144163	-0.24542278	-0.928183	-0.5368904	0.9621329	-1.6076003	1.345469	1.4394414	0.93697226	-2.5979278	-0.7252969	-0.8376556	-1.6546409
16	-1.7522318	-0.5358175	-0.8585846	-0.25201866	-0.57692546	-0.027878478	1.4866124	-1.8468233	-1.9848787	-0.20156346	2.260605	0.76666576	0.80480164	-0.16672562	0.61688805	0.9546606	0.034505382	1.3936771	-0.26177013	-0.9102915	-0.53741145	0.9521304	-1.5894359	1.3681998	1.450524	0.928843	-2.5995226	-0.6932407	-0.8709099	-1.6662972
17	-1.8301542	-0.5059327	-0.9084581	-0.29235154	-0.60359764	-0.018941984	1.574658	-1.9272968	-2.045407	-0.24369527	2.410876	0.7661853	0.8531237	-0.20749858	0.64224863	1.0101959	0.049054094	1.5110505	-0.2581596	-0.9690481	-0.5698504	0.9938125	-1.6777911	1.401963	1.5165242	0.99994177	-2.7248378	-0.7467656	-0.9157363	-1.6918122
18	-1.8151901	-0.5361296	-0.86750937	-0.24860787	-0.6009891	-0.023174604	1.5450778	-1.9072185	-2.0484738	-0.2216472	2.373318	0.7903972	0.8278893	-0.185366	0.6165775	0.98833686	0.050766237	1.4708366	-0.26881203	-0.97185856	-0.54168814	0.9925776	-1.6471323	1.395576	1.49921	0.9694547	-2.6967022	-0.72910064	-0.904465	-1.707053
19	-1.7087173	-0.4871206	-0.8107517	-0.25865278	-0.47933984	-0.03927539	1.4259197	-1.7242742	-1.8685402	-0.2362667	2.1561155	0.6862224	0.79826105	-0.14125578	0.61508733	0.88657826	0.0579566	1.3273842	-0.22871324	-0.8580044	-0.47403163	0.9557006	-1.5237105	1.3121331	1.3760796	0.8629944	-2.4765522	-0.669671	-0.9026827	-1.553509
20	-1.7098893	-0.50763744	-0.82243747	-0.25103176	-0.53784084	-0.021710452	1.4394715	-1.7845898	-1.9196985	-0.2086972	2.2053752	0.7209988	0.8010061	-0.16194458	0.59395385	0.92285	0.036301114	1.363751	-0.23413919	-0.8886628	-0.50955933	0.9585166	-1.5392659	1.3256907	1.4088925	0.90235347	-2.5292366	-0.69705707	-0.8540203	-1.5972611
21	-1.6834847	-0.5373291	-0.83011395	-0.25933474	-0.55472785	-0.047017246	1.434704	-1.787547	-1.9271517	-0.19469495	2.172668	0.73175716	0.7752212	-0.1753655	0.5994976	0.9096536	0.039319985	1.3332263	-0.25928563	-0.8673768	-0.5082187	0.9197948	-1.542407	1.307046	1.379822	0.88290197	-2.480768	-0.66540277	-0.84618884	-1.6035866
