	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48
22	2.144375	-0.40813768	-0.14336705	-2.0574603	1.4820397	-0.17192966	1.8228024	-0.6809143	-0.706161	-0.87359643	-1.169203	-0.31525135	-0.24581237	0.8753598	-1.4666581	1.2492251	-0.6502219	-0.7789576	-2.530949	2.4867172	0.12490973	0.20222497	0.33986163	1.260962	1.1696417	1.3896258	-0.064715154	-0.43982765	-0.7264988	2.2445545	-0.01240865	1.5567923	1.1803573	0.8690901	0.40298936	0.07306849	0.99554384	0.4312422	0.14288273	0.447595	2.1743472	-1.3749422	-0.079498395	0.10866961	0.23422204	-1.2573988	-1.7187033	-0.22480276	-3.333284
23	2.0054343	-0.4000282	-0.17234886	-1.888532	1.3894243	-0.16492052	1.7722002	-0.6106066	-0.718224	-0.8555571	-1.0616955	-0.21526821	-0.22258085	0.7762218	-1.3335465	1.1517969	-0.60383195	-0.7124786	-2.3825574	2.2907794	0.11022797	0.16817707	0.24568568	1.1887596	1.1268898	1.3200938	-0.09534719	-0.4244721	-0.7060425	2.050905	0.013114097	1.4393092	1.0387901	0.80656004	0.4082655	0.11711056	0.9247487	0.4268596	0.20589146	0.36521956	2.0560572	-1.2981119	-0.08050972	0.10123933	0.16476223	-1.241997	-1.5826112	-0.23459335	-3.0505104
24	2.072398	-0.40065375	-0.15083188	-1.9360763	1.4232721	-0.20635386	1.7951626	-0.6407178	-0.70680195	-0.8719568	-1.0871345	-0.2559813	-0.24586381	0.81508756	-1.3616816	1.2016592	-0.58934593	-0.7631927	-2.4941378	2.3698487	0.12897773	0.19009155	0.3117467	1.2257655	1.1499388	1.3320065	-0.07617397	-0.406404	-0.69986093	2.09912	-0.028963594	1.4543457	1.114966	0.84661454	0.43621853	0.08012586	0.9775887	0.45190573	0.20953496	0.35247305	2.1236122	-1.3434285	-0.053044293	0.10788367	0.2065738	-1.29936	-1.6446102	-0.22125731	-3.1839354
25	2.0110414	-0.34650674	-0.1463355	-1.9206961	1.4073946	-0.23781651	1.7579864	-0.6232687	-0.6855439	-0.82847416	-1.0645313	-0.2733997	-0.26969397	0.7806258	-1.3266224	1.160191	-0.6072184	-0.7544834	-2.431282	2.3460436	0.12626438	0.21923843	0.30944687	1.1952281	1.1716647	1.333737	-0.068124875	-0.39759997	-0.66024673	2.062773	-0.030498493	1.4030629	1.0884016	0.82772183	0.42205197	0.13619515	0.94750917	0.4504524	0.22122993	0.37226787	2.0611672	-1.2641912	-0.05330614	0.111345805	0.21315464	-1.268411	-1.6136848	-0.23985444	-3.1402805
26	2.134683	-0.4003291	-0.15991327	-2.003742	1.4728651	-0.20610595	1.8365815	-0.69595134	-0.7293295	-0.8864519	-1.1099354	-0.27483302	-0.25999993	0.84963226	-1.4223391	1.2479175	-0.59008926	-0.7736144	-2.567321	2.4238884	0.12601668	0.19578771	0.32020116	1.2454123	1.1711831	1.3620626	-0.0758858	-0.40311706	-0.7237468	2.1741164	-0.041099176	1.5041922	1.148165	0.8852441	0.46802354	0.08675876	1.0166702	0.47859028	0.21274361	0.3605818	2.1833248	-1.3665344	-0.05842362	0.10568621	0.21653876	-1.3171462	-1.6955124	-0.2138424	-3.2903266
27	2.2082355	-0.42046997	-0.1444428	-2.0735042	1.5103511	-0.23774254	1.8813727	-0.70458764	-0.70790607	-0.90609604	-1.1540792	-0.2933971	-0.27186188	0.8819695	-1.4512224	1.2638263	-0.60802686	-0.83105075	-2.6361132	2.4983017	0.15678191	0.24150108	0.3593435	1.2963841	1.2246218	1.4310644	-0.08125405	-0.42861357	-0.71819305	2.2514355	-0.05113383	1.5340706	1.1993349	0.89972657	0.47334006	0.065422684	1.0284889	0.47899723	0.2066522	0.3963145	2.240321	-1.4216217	-0.06241573	0.12539358	0.22967641	-1.356322	-1.7558926	-0.2263454	-3.4199343
28	1.9439031	-0.37015468	-0.13363884	-1.8440806	1.3605678	-0.2308281	1.7360168	-0.6193386	-0.6917039	-0.818673	-1.0096776	-0.22043832	-0.23596865	0.7411653	-1.306311	1.1145401	-0.58417577	-0.70319283	-2.349918	2.2609034	0.12833963	0.19138429	0.28585836	1.1677752	1.1270066	1.2971854	-0.084190466	-0.39786777	-0.68203485	2.013983	0.00034460612	1.3810827	1.057265	0.7703977	0.4102426	0.11642981	0.9116756	0.4118148	0.2047783	0.37473965	2.0109093	-1.2305359	-0.063287646	0.09361815	0.17717288	-1.2156318	-1.5623463	-0.21464297	-3.0250142
29	1.9085611	-0.3488633	-0.12909439	-1.8492976	1.3394302	-0.19354147	1.6703295	-0.6196216	-0.6355178	-0.76170117	-1.0154352	-0.25502136	-0.23505506	0.7516706	-1.3134569	1.0980705	-0.5692631	-0.7000554	-2.2662601	2.2141826	0.11970364	0.20972972	0.29707095	1.1542227	1.0772183	1.2630368	-0.08794269	-0.38847372	-0.6331374	1.9948207	-0.017590282	1.3530028	1.0274928	0.7562441	0.40059063	0.08005568	0.86204046	0.4033937	0.17634651	0.3803057	1.9489135	-1.2038296	-0.091224045	0.07783773	0.17939858	-1.1407206	-1.5275856	-0.22544265	-2.9688554
30	2.0388196	-0.38440067	-0.1500474	-1.9314903	1.4028679	-0.20021574	1.7596394	-0.6406807	-0.6666605	-0.8334637	-1.0747763	-0.28502464	-0.24693012	0.81128484	-1.3213985	1.1743027	-0.57918876	-0.7484682	-2.4342594	2.3327596	0.11928444	0.21205297	0.32349202	1.2038503	1.1279951	1.315328	-0.074795194	-0.3923449	-0.66214204	2.0627618	-0.03577173	1.4266424	1.0884573	0.8475509	0.42828578	0.084357165	0.9587334	0.44910648	0.20869517	0.35495168	2.069034	-1.3173109	-0.03870054	0.107380554	0.21097742	-1.2602636	-1.6225545	-0.22524409	-3.1428409
31	2.1387334	-0.41576672	-0.18778925	-2.0151634	1.49623	-0.20914103	1.875359	-0.68919885	-0.7377823	-0.8842107	-1.1161354	-0.26918492	-0.24276486	0.8438271	-1.4062402	1.2438025	-0.6133729	-0.7795208	-2.546961	2.4372976	0.104757	0.18533528	0.33499002	1.2464426	1.1954176	1.3926598	-0.096488275	-0.41817313	-0.7379559	2.1751652	-0.008380476	1.5218445	1.1360998	0.87292135	0.44634312	0.112010024	1.0080523	0.45448524	0.2048926	0.39846897	2.1820707	-1.373863	-0.0514935	0.122780874	0.21352577	-1.322372	-1.6870444	-0.23043096	-3.305366
