	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
16	-4.657732	2.7322774	-1.2578717	-2.1173916	-0.4624765	-1.7282254	-1.8701229	-0.6130231	0.15158463	1.4786799	-0.34507257	-3.230183	-0.123471245	0.13876744	-1.3661093	3.004437	-1.6562805	1.2903149	1.14766	-1.8718587	0.66026473	1.0720282	0.3833143	2.5695746	0.06428689	-2.255095	-3.5447042
17	-4.9410934	2.9529908	-1.2720428	-2.1686857	-0.49311563	-1.7749333	-1.9772868	-0.63737506	0.17486614	1.6079621	-0.39644143	-3.4230182	-0.17397009	0.17452718	-1.470625	3.1628954	-1.7928643	1.3715527	1.2549269	-1.9429989	0.70582145	1.1102633	0.36643967	2.7248492	0.04673478	-2.3647432	-3.7257292
18	-4.8479257	2.8436873	-1.2806042	-2.1555376	-0.46099398	-1.7836783	-1.9507027	-0.62410754	0.16161084	1.5396292	-0.3499836	-3.3508224	-0.17206073	0.1470465	-1.4658569	3.1100318	-1.7173451	1.3513548	1.1898216	-1.9126976	0.6945335	1.1080804	0.364445	2.66586	0.08229083	-2.338905	-3.676957
19	-4.4831796	2.603317	-1.226692	-2.0170286	-0.52739227	-1.6567545	-1.8209286	-0.5929144	0.18568656	1.4156195	-0.37412703	-3.0939157	-0.14298913	0.19604541	-1.2500248	2.870511	-1.6130893	1.2541326	1.100506	-1.8438973	0.65758187	0.9898283	0.34753323	2.4094477	-0.009829261	-2.136584	-3.3467476
20	-4.51378	2.6650476	-1.2421353	-2.080045	-0.48470154	-1.6690892	-1.8176072	-0.57733244	0.15662405	1.4592254	-0.31577593	-3.1578078	-0.12570645	0.12483501	-1.3223361	2.9309537	-1.5819718	1.2606881	1.099221	-1.8332974	0.6440406	1.0169438	0.37281087	2.4986973	0.04741858	-2.1934783	-3.4644628
21	-4.504141	2.6537597	-1.2146406	-2.0725892	-0.48931	-1.6534894	-1.7802659	-0.58025116	0.1468139	1.402594	-0.30183542	-3.123119	-0.13225654	0.1358258	-1.3212118	2.9066155	-1.5876001	1.2119443	1.096171	-1.7967389	0.63786566	1.0354047	0.3830023	2.4682932	0.068381526	-2.1230414	-3.3944128
22	-4.6875553	2.771861	-1.283302	-2.1839445	-0.48420072	-1.7233616	-1.8871375	-0.57157737	0.14774251	1.5099896	-0.31211197	-3.2899163	-0.109059475	0.10590849	-1.4000436	3.0382533	-1.6855235	1.2625449	1.1510229	-1.8831325	0.66298366	1.0723507	0.42467692	2.57268	0.099786356	-2.2456665	-3.576752
23	-4.4630165	2.6308117	-1.2248558	-2.019958	-0.4953568	-1.6494522	-1.7792801	-0.57907975	0.18065736	1.4110512	-0.3352535	-3.0911512	-0.15863457	0.18074945	-1.2843775	2.8772001	-1.6020845	1.2386053	1.1105572	-1.8007246	0.65450096	1.0032935	0.3575694	2.4395466	0.019018287	-2.1519299	-3.354451
24	-4.540453	2.6644008	-1.2367206	-2.0785425	-0.46590018	-1.6908122	-1.8309546	-0.5934876	0.16287258	1.4511278	-0.33707288	-3.1692066	-0.10646851	0.12907666	-1.341923	2.937605	-1.602709	1.2540543	1.1175263	-1.8434603	0.62591434	1.0418155	0.37214908	2.5097075	0.05926296	-2.1907973	-3.4789934
25	-4.4761934	2.6543925	-1.2143058	-2.060931	-0.47572875	-1.6606694	-1.7752734	-0.5756385	0.15988705	1.4273272	-0.32785898	-3.1257524	-0.10029176	0.13701423	-1.3250415	2.9083223	-1.6002494	1.2138369	1.1353503	-1.8109334	0.62626475	1.0264789	0.39031985	2.480628	0.07077701	-2.15844	-3.4120438
26	-4.6169176	2.7053354	-1.2908658	-2.1281264	-0.47399232	-1.7254504	-1.8398354	-0.59982157	0.15931681	1.4559782	-0.3336365	-3.2426133	-0.06342891	0.13351545	-1.3818693	3.0092022	-1.5922064	1.2681981	1.138945	-1.9073238	0.6306639	1.0546356	0.36539814	2.5510442	0.072078496	-2.2187223	-3.5740004
27	-4.799007	2.811187	-1.3219129	-2.1956823	-0.47705945	-1.8064449	-1.9127761	-0.6182344	0.14831904	1.4798881	-0.3072245	-3.3604243	-0.07151552	0.13572219	-1.4628959	3.1464221	-1.6737127	1.2892408	1.1761911	-1.9594901	0.67303026	1.1011755	0.37695917	2.6294022	0.12065653	-2.2853184	-3.7085135
28	-4.393682	2.5491009	-1.2145509	-2.004103	-0.4810927	-1.6118392	-1.745698	-0.5730867	0.15391594	1.3538878	-0.3636335	-3.023047	-0.118375726	0.15174963	-1.2283136	2.788663	-1.5387058	1.216309	1.0808673	-1.7931441	0.6167944	0.994115	0.35957754	2.3659456	0.014225582	-2.086353	-3.2735846
29	-4.160814	2.4329371	-1.0892991	-1.8719498	-0.4204708	-1.5323305	-1.6865395	-0.5349871	0.13087133	1.3310722	-0.33059397	-2.8667657	-0.08295541	0.119325615	-1.2163789	2.6641383	-1.469228	1.1493987	1.0238689	-1.6789821	0.56311274	0.9538418	0.3139567	2.268849	0.050884128	-1.9861448	-3.1490455
30	-4.459174	2.6210978	-1.2074369	-2.0306988	-0.4504703	-1.6580274	-1.7859781	-0.5779999	0.16321698	1.4221456	-0.32088786	-3.105315	-0.10995147	0.11763079	-1.3328412	2.928811	-1.5618688	1.2274649	1.1003067	-1.8029196	0.6001792	1.027923	0.3390201	2.4930716	0.07788361	-2.1645086	-3.4384904
31	-4.7151685	2.7733736	-1.2766227	-2.150367	-0.46222565	-1.7286037	-1.8872081	-0.6114333	0.15185758	1.5075619	-0.34389135	-3.270997	-0.1253855	0.12039367	-1.4070203	3.0324085	-1.6406	1.2931619	1.141039	-1.8830423	0.64261746	1.0875604	0.39455327	2.6035075	0.084349304	-2.2541833	-3.5949986
32	-4.5166364	2.6656156	-1.2123725	-2.0590353	-0.42382944	-1.6874437	-1.7699066	-0.587225	0.15613464	1.4056838	-0.32570338	-3.1371143	-0.10694097	0.112600535	-1.359497	2.9291406	-1.5688938	1.2302173	1.1441371	-1.8107767	0.58596075	1.0613134	0.336093	2.5245805	0.09125731	-2.1541145	-3.4601722
33	-4.3209434	2.5126336	-1.1265997	-2.000967	-0.48669186	-1.6194918	-1.7458425	-0.5773351	0.14329174	1.326829	-0.3098083	-2.9879727	-0.05192551	0.12195089	-1.2341707	2.7885792	-1.5010301	1.1721957	1.0418196	-1.7437496	0.61980855	1.0242406	0.34707278	2.3582463	0.06412742	-2.063055	-3.2876394
34	-4.3534513	2.525496	-1.2278026	-1.955806	-0.5273379	-1.6193064	-1.757563	-0.5710666	0.18368414	1.3646401	-0.3595356	-2.9959464	-0.1869361	0.20975913	-1.1769979	2.7731256	-1.5689312	1.2346921	1.0578684	-1.7941493	0.6731348	0.93266696	0.3412018	2.3124542	-0.029781397	-2.076113	-3.2194748
35	-4.733461	2.7914746	-1.2748417	-2.1364758	-0.48954278	-1.7580016	-1.8780189	-0.6274743	0.1821779	1.4768019	-0.34782952	-3.3015785	-0.15750907	0.15192772	-1.3928545	3.0487463	-1.673559	1.3169544	1.1876839	-1.893707	0.674302	1.0800093	0.36030272	2.6194627	0.043527894	-2.279629	-3.6042688
36	-4.43685	2.5990283	-1.1974374	-2.0250845	-0.4337688	-1.6727711	-1.7689825	-0.5843205	0.15502352	1.3945665	-0.32367072	-3.0805073	-0.11154659	0.1294094	-1.3080875	2.884295	-1.5750864	1.220937	1.1086179	-1.7953141	0.60999846	1.030477	0.34951487	2.4537194	0.08789034	-2.1363194	-3.384613
37	-4.548476	2.6767058	-1.2357	-2.1093557	-0.451741	-1.6948774	-1.8310231	-0.574639	0.15774477	1.4683583	-0.3154047	-3.1923876	-0.069538295	0.08633867	-1.3763797	2.986832	-1.607239	1.2413168	1.1329659	-1.8573452	0.5997415	1.0552734	0.37042442	2.532825	0.09550138	-2.2150266	-3.5181196
38	-4.600619	2.7067258	-1.290567	-2.1147163	-0.48324877	-1.7163191	-1.8360345	-0.6193498	0.19888622	1.4767913	-0.36841106	-3.2146528	-0.15348649	0.14161296	-1.2973152	2.9342391	-1.5807226	1.333516	1.1550328	-1.87353	0.6463838	1.0253578	0.3446499	2.5516598	0.021218041	-2.2171807	-3.528363
39	-4.278469	2.502299	-1.1912824	-1.9362688	-0.46579948	-1.6077712	-1.7132899	-0.56216586	0.17955685	1.3519256	-0.32913002	-2.9631457	-0.15862134	0.17272061	-1.2148445	2.7459328	-1.5237813	1.2091625	1.061972	-1.7423452	0.62529224	0.95075214	0.32812998	2.328694	0.01852324	-2.0623972	-3.2235897
40	-4.2972097	2.5126538	-1.1710503	-1.96551	-0.4246629	-1.6279372	-1.7111543	-0.56829524	0.15604228	1.3472271	-0.3205925	-2.9730613	-0.09483869	0.1138626	-1.2552681	2.7808301	-1.4926153	1.1981747	1.0823313	-1.7461156	0.57504094	0.98898274	0.32130286	2.3734894	0.075615264	-2.05991	-3.287678
41	-4.3422465	2.5477705	-1.1604468	-1.9792349	-0.42815387	-1.6278174	-1.7427967	-0.5753767	0.16110206	1.3774699	-0.32800132	-3.021143	-0.0762739	0.11179473	-1.2936558	2.8286095	-1.5244861	1.1952957	1.0925431	-1.7571276	0.58021057	1.0097632	0.32671645	2.4144971	0.088210195	-2.0783238	-3.34579
42	-4.5932717	2.7132878	-1.250135	-2.1025634	-0.42502174	-1.728578	-1.8184572	-0.60094124	0.148186	1.4582269	-0.3161764	-3.2164013	-0.07752761	0.102094315	-1.3968756	3.0140803	-1.6000818	1.2554321	1.148049	-1.8653157	0.6057265	1.0680352	0.35172945	2.5748646	0.10418577	-2.2214515	-3.5692196
43	-4.3494186	2.5230086	-1.2157968	-1.9719483	-0.47723892	-1.600691	-1.7340934	-0.5730638	0.15365556	1.3250338	-0.30027083	-3.0391228	-0.1575847	0.16149104	-1.2651255	2.8205876	-1.5207045	1.2017819	1.0299274	-1.7625296	0.64137965	0.97330546	0.3290604	2.3740141	0.03791584	-2.042963	-3.3070762
44	-4.645624	2.767236	-1.2547436	-2.1484597	-0.48701477	-1.7061334	-1.8133209	-0.5862907	0.18208176	1.4708427	-0.30485937	-3.2423341	-0.1355349	0.10593582	-1.3981016	3.0284917	-1.6133684	1.272343	1.1767541	-1.8489088	0.621038	1.0765853	0.3622805	2.6021707	0.075493395	-2.2435482	-3.5477867
45	-4.771367	2.7812777	-1.2929355	-2.141469	-0.49139738	-1.7691981	-1.920889	-0.6209572	0.17124188	1.4958555	-0.34671977	-3.3023524	-0.14719667	0.15723567	-1.4200788	3.102521	-1.6939745	1.3061484	1.1617838	-1.9188721	0.66724336	1.0886502	0.36477542	2.6318688	0.05660396	-2.30042	-3.633574
46	-4.712173	2.7703743	-1.2710909	-2.16159	-0.5059397	-1.7559375	-1.8996392	-0.5999928	0.18162903	1.5170871	-0.33508056	-3.291604	-0.11950407	0.12229823	-1.3958799	3.1056657	-1.6671077	1.2994905	1.1654016	-1.9228615	0.6391891	1.0781988	0.36353692	2.6233788	0.07155298	-2.3075228	-3.6211696
