	0	1	2	3	4	5	6	7	8	9
56	-1.8708103	0.49581224	-2.4531066	1.2266474	-0.5238532	0.57357395	0.25976992	-2.1488202	-0.48677006	2.3126352
57	-2.0717392	0.56134194	-2.8646371	1.4062883	-0.62983245	0.62501836	0.3359996	-2.4334576	-0.566139	2.6213503
58	-2.1366932	0.56100553	-2.756104	1.3957168	-0.59014446	0.6466567	0.27573583	-2.443001	-0.5461201	2.6201777
59	-2.0089633	0.5301509	-2.464691	1.2492143	-0.52231085	0.57210976	0.19486552	-2.2286644	-0.49085894	2.3742645
60	-2.162151	0.5817285	-2.848541	1.4183782	-0.6104925	0.66241837	0.2979571	-2.4882827	-0.5607402	2.6860733
61	-2.0861955	0.5514921	-2.6647475	1.352884	-0.57336956	0.6317854	0.26017356	-2.3715875	-0.5295858	2.5490704
62	-1.9407349	0.52064407	-2.5188763	1.2598407	-0.5070451	0.63410074	0.25645342	-2.2383769	-0.4838793	2.4279613
63	-1.9772308	0.5231836	-2.5566502	1.2848614	-0.5403539	0.6208696	0.25224403	-2.2813704	-0.49564928	2.4540014
64	-2.0123749	0.5291777	-2.5105138	1.2876143	-0.5441134	0.58645374	0.21476622	-2.2872105	-0.4989396	2.4172344
65	-2.1051464	0.55416834	-2.7322876	1.3841379	-0.6035499	0.6173299	0.28432035	-2.3928933	-0.5529353	2.5677314
66	-1.9421728	0.51788086	-2.5876284	1.2949865	-0.5577646	0.60671395	0.28874603	-2.2467651	-0.51062506	2.434153
67	-2.0484345	0.5483944	-2.6428804	1.3262075	-0.57164997	0.6094837	0.25428125	-2.3463132	-0.52304226	2.506262
68	-2.0609698	0.5429459	-2.6021957	1.3252017	-0.558438	0.62736493	0.2408894	-2.3426259	-0.5132436	2.5122166
69	-1.9717726	0.52427566	-2.5026386	1.2663049	-0.5294249	0.60760665	0.24116138	-2.23007	-0.49553084	2.4089253
70	-1.9961442	0.53901416	-2.6835086	1.3319896	-0.5637927	0.6393209	0.2951058	-2.3343983	-0.51814866	2.529377
71	-2.0437877	0.54121417	-2.5678678	1.3140775	-0.5373631	0.6342858	0.24086559	-2.313689	-0.5065278	2.4927108
72	-1.8846825	0.49510685	-2.3911774	1.2148887	-0.50668615	0.57628655	0.22725134	-2.153552	-0.47092277	2.3019016
73	-2.0362027	0.5418142	-2.5875561	1.3112348	-0.5422192	0.627932	0.24936555	-2.3111048	-0.5112642	2.489414
74	-1.9861757	0.5296531	-2.6141346	1.3086478	-0.53969395	0.6375079	0.28412172	-2.2917557	-0.5097397	2.488177
75	-2.0223641	0.54820937	-2.7850986	1.3613576	-0.6032061	0.6168101	0.32174298	-2.3729599	-0.5476574	2.5573654
76	-1.9468657	0.5293351	-2.6025867	1.2792304	-0.53323656	0.63112676	0.27829155	-2.2730632	-0.49841192	2.464424
77	-1.8878366	0.49736795	-2.4487982	1.2313092	-0.5292181	0.570306	0.2455029	-2.1760178	-0.48315126	2.3230443
78	-1.9390774	0.5107899	-2.354495	1.1894873	-0.4961607	0.550651	0.17358579	-2.128861	-0.46860972	2.2748358
