	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
10	0.38099968	-0.7830944	-0.48606467	0.55298215	-0.38715428	-0.25837237	-1.000394	-0.26335856	0.7002033	-1.0001907	-1.1634717	-0.45626524	-0.4566725	-1.1283602	0.72239983	-1.7110069	-1.5119215	-1.5488871	-0.83416647	2.1985435	-0.94318265	-0.88152635	-1.6764997	1.033091	0.6169155
11	0.35310972	-0.709084	-0.46597728	0.5026629	-0.37196612	-0.24242364	-0.92152935	-0.2241711	0.63890773	-0.8975572	-1.0823715	-0.4158141	-0.40928897	-1.0442727	0.6750137	-1.5635239	-1.3674366	-1.4360739	-0.76915663	2.038282	-0.86429447	-0.8153395	-1.5395154	0.9691856	0.54462045
12	0.3954207	-0.7033235	-0.45293927	0.5376634	-0.35559893	-0.22859617	-0.9877081	-0.26415557	0.7139006	-0.9688283	-1.1689811	-0.4565563	-0.4103802	-1.1334108	0.7085544	-1.6825322	-1.4851584	-1.4766778	-0.8570058	2.1487062	-0.9272554	-0.83946884	-1.6319269	1.0372174	0.66048324
13	0.35758835	-0.7274238	-0.46698418	0.5257342	-0.38101605	-0.25148743	-0.9487544	-0.23989406	0.6454275	-0.91726464	-1.1068782	-0.42290694	-0.42893964	-1.0653322	0.6960161	-1.6087589	-1.4212192	-1.4723572	-0.78531414	2.0957491	-0.87649894	-0.8377747	-1.5990837	0.99863386	0.57492906
14	0.35247773	-0.7396575	-0.37671617	0.4934247	-0.34422502	-0.23412922	-0.9117599	-0.24252842	0.6275334	-0.8904128	-1.0114033	-0.42320612	-0.43597227	-0.95951355	0.62722826	-1.5125215	-1.3861102	-1.320308	-0.7477556	1.9242342	-0.77539265	-0.78136235	-1.4866112	0.89696693	0.55101585
15	0.36455038	-0.69739395	-0.41298005	0.57080716	-0.4101911	-0.2015081	-1.005035	-0.2957194	0.70428115	-0.9806805	-1.1503862	-0.45099652	-0.41734922	-1.1165841	0.6720911	-1.6343243	-1.4657578	-1.4520544	-0.87713575	2.122782	-0.8795436	-0.8396355	-1.5686113	0.9851347	0.64426637
16	0.36312452	-0.71495193	-0.4697947	0.524116	-0.39091322	-0.24414612	-0.9814395	-0.23742707	0.67481095	-0.9504791	-1.1444392	-0.44966695	-0.44919983	-1.099758	0.7372329	-1.6641456	-1.4568137	-1.4943479	-0.82618594	2.1665108	-0.90101594	-0.84943783	-1.6565602	1.0610509	0.61100084
17	0.4067528	-0.8277442	-0.43614048	0.58099383	-0.3785648	-0.26195666	-1.0503916	-0.30448723	0.77093303	-1.0386174	-1.2144073	-0.5086287	-0.48959965	-1.1531063	0.718697	-1.7902108	-1.5877354	-1.5632155	-0.9112885	2.2179327	-0.95713174	-0.8998871	-1.7094538	1.0370412	0.67543113
18	0.3825711	-0.78071225	-0.47918028	0.5666979	-0.4214393	-0.26917183	-1.0241249	-0.2710371	0.6924272	-0.98105156	-1.1848394	-0.45829138	-0.47805476	-1.1349831	0.7316773	-1.7249182	-1.520103	-1.5646497	-0.85706425	2.2260132	-0.9316758	-0.88148445	-1.6938807	1.0479684	0.63153666
19	0.3628248	-0.757968	-0.44159576	0.49909425	-0.3781935	-0.24535273	-0.9525202	-0.21865802	0.6380001	-0.9168323	-1.0505489	-0.4220153	-0.45647305	-0.99614394	0.6766371	-1.567287	-1.4109714	-1.4099404	-0.7563513	2.0278873	-0.8249019	-0.8120293	-1.5631392	0.957414	0.52401465
