	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39
10	0.47053003	2.1384273	1.6001292	1.4764744	-0.24536493	-1.0918872	2.1792781	-3.0365918	-1.3573753	-1.5023662	2.1235504	-3.0231793	-0.4393143	1.8803931	-2.5533037	-1.6283896	-0.46312776	0.38908756	-0.90297735	3.8388052	0.008461032	0.37178123	0.5462291	-2.930311	0.2124851	-3.4902735	0.65286744	-1.6812824	-0.12371692	-2.0116646	1.438071	0.13731788	0.9499018	-0.6490677	3.2643259	-1.3959633	-3.6193888	-2.0558789	-0.5116374	-0.42049724
11	0.4569387	1.976442	1.465956	1.3454663	-0.23608446	-1.0156251	2.0072544	-2.799862	-1.2106977	-1.3894479	1.9330034	-2.7738354	-0.40175962	1.7324046	-2.3056455	-1.5178689	-0.4270069	0.33867657	-0.8038519	3.5383132	0.0014209283	0.32584822	0.5100814	-2.7005804	0.18977875	-3.192364	0.59712803	-1.5539107	-0.11093327	-1.8355224	1.311931	0.14295107	0.8631054	-0.61456114	2.990232	-1.2917014	-3.3092146	-1.860853	-0.43173507	-0.4292943
12	0.4552034	2.0680609	1.611404	1.4585333	-0.32514632	-1.1393949	2.176614	-3.041309	-1.3774351	-1.482105	2.140035	-2.9889114	-0.40687856	1.8881689	-2.5355654	-1.6332756	-0.50494725	0.38658813	-0.8686164	3.8509524	0.021003408	0.35550204	0.5236219	-2.9160433	0.17310756	-3.474315	0.60582525	-1.6798306	-0.1021277	-2.0383286	1.4371184	0.14373147	0.9159423	-0.6331405	3.205514	-1.4231454	-3.5436943	-1.9711359	-0.45653278	-0.44495535
13	0.45673168	2.053538	1.5332232	1.4124815	-0.24450341	-1.0345263	2.0725343	-2.8679118	-1.2576693	-1.4391704	2.0065622	-2.843584	-0.40373564	1.7703168	-2.413393	-1.5673397	-0.46244577	0.37392068	-0.826346	3.6295927	0.00618424	0.34314042	0.50855947	-2.818718	0.23594013	-3.3074098	0.6186305	-1.5950662	-0.118964165	-1.9072632	1.3614919	0.13210645	0.870054	-0.63827187	3.0733347	-1.2943238	-3.415521	-1.9065782	-0.46483558	-0.4403857
14	0.45715976	1.9404714	1.40903	1.3063382	-0.20169878	-0.8964473	1.8671085	-2.6363988	-1.1463772	-1.4409931	1.9280713	-2.6513574	-0.36748353	1.6843535	-2.2957385	-1.4679048	-0.40305942	0.3430621	-0.7497516	3.3925586	-0.03893284	0.26480576	0.5234829	-2.6776152	0.2797627	-3.0889232	0.62117386	-1.5150187	-0.12039366	-1.7404294	1.2573214	0.043226987	0.76623464	-0.5797747	2.9272676	-1.1339679	-3.1809654	-1.7763565	-0.48359028	-0.39971644
15	0.41403836	2.1411338	1.5427362	1.4284008	-0.26614186	-1.0790412	2.0730302	-2.987863	-1.351298	-1.4812305	2.0736125	-2.8867798	-0.4229851	1.8715198	-2.5128176	-1.5944188	-0.4844335	0.42531154	-0.90040404	3.768218	0.041417137	0.30958933	0.5292248	-2.8889596	0.23972408	-3.368519	0.66273135	-1.650687	-0.12910852	-1.9727559	1.3803909	0.11710224	0.9532305	-0.61361426	3.216491	-1.3500407	-3.5530891	-2.006628	-0.54504126	-0.37132984
16	0.4814169	2.1265593	1.5651039	1.4399137	-0.26291078	-1.0544552	2.1075928	-2.9610252	-1.3198408	-1.4945018	2.0843086	-2.9359498	-0.4226842	1.8412678	-2.4913769	-1.6108559	-0.457823	0.38701165	-0.85472554	3.7670302	0.015234008	0.32439676	0.5346868	-2.9136922	0.23523135	-3.39886	0.6303796	-1.659432	-0.11277865	-1.954536	1.4111199	0.12573923	0.9002886	-0.64826065	3.2135265	-1.3489816	-3.5376804	-1.9755247	-0.503607	-0.44111097
17	0.4925103	2.2414646	1.6831188	1.5544572	-0.25424597	-1.1107339	2.241596	-3.1706982	-1.4129064	-1.5733601	2.2178643	-3.0917063	-0.49454832	1.940961	-2.7097483	-1.7469444	-0.48469365	0.44321823	-0.93632674	3.9912858	0.016291605	0.38776365	0.50315607	-3.1223102	0.25265554	-3.6183798	0.6576566	-1.753028	-0.116802074	-2.111756	1.5318483	0.09179937	0.9597131	-0.68895847	3.374316	-1.442483	-3.759827	-2.121802	-0.58084464	-0.42850733
18	0.46876544	2.129572	1.6401062	1.4970181	-0.27272052	-1.0905254	2.224908	-3.0772283	-1.3657056	-1.5429403	2.1734622	-3.0915518	-0.43168783	1.9119095	-2.603956	-1.6600299	-0.46360904	0.38059998	-0.86913633	3.9086545	-0.01947245	0.38203362	0.54181886	-2.9880505	0.23068859	-3.549298	0.65390193	-1.7139381	-0.10326584	-2.047085	1.4627535	0.104798876	0.9540411	-0.6497223	3.2649398	-1.3967409	-3.6262066	-2.044023	-0.4605603	-0.4505486
19	0.49457118	2.0357325	1.4549634	1.3617764	-0.19840786	-0.93063736	1.9271024	-2.7364755	-1.177358	-1.4878294	1.960809	-2.7197697	-0.40060937	1.7111455	-2.3426495	-1.5493859	-0.4176372	0.36807007	-0.7562916	3.4938166	-0.009373721	0.28672692	0.51918095	-2.8008075	0.2862682	-3.1839435	0.641423	-1.5454786	-0.12623966	-1.7922575	1.321206	0.06620053	0.79393137	-0.624198	3.027506	-1.187368	-3.2831194	-1.8364558	-0.51481503	-0.4391355
