	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
10	-0.42495495	0.614146	-1.6733447	0.72621566	0.7987552	-0.7941294	-1.2619427	1.861429	1.1761585	-0.49928164	-1.1470618	0.75424945	-1.767314	0.69225615	-0.3512703	0.37439236	1.6172565	-1.2290866	3.0208082	3.4748132	0.9918975	0.36065382	0.86363274	0.9378565	-1.2550087	1.5009477	2.2761188	0.25157136	-1.1803586	0.91761065	2.1541333	-1.5193887	-1.1316601	-1.3344436	-1.2073886	-0.77532136	-0.93096	-0.83808666	-1.1950319	3.143103	1.048236	0.4341337	1.6138109	1.225772	-0.6022143	-0.07147396	1.0192674	0.84327865	0.25053078	1.9849831
11	-0.38787752	0.5771572	-1.5246117	0.68154633	0.7416567	-0.71817106	-1.1351643	1.6822376	1.057951	-0.45784745	-1.0672282	0.68935674	-1.5941921	0.6245327	-0.30650067	0.35653743	1.4737326	-1.1413722	2.7730577	3.1782908	0.88344693	0.3520069	0.80299777	0.8687	-1.1517133	1.3674798	2.100903	0.21598558	-1.0916913	0.8294566	1.9755522	-1.3852723	-1.0267516	-1.2020758	-1.1011829	-0.72251743	-0.8619287	-0.7798144	-1.0832087	2.8787363	0.9598623	0.3845801	1.4826705	1.1232115	-0.558705	-0.048663463	0.9233806	0.8157154	0.19697198	1.8224701
12	-0.38849598	0.5646058	-1.6080265	0.72206193	0.8184025	-0.7644095	-1.2489908	1.8344345	1.1599365	-0.50494826	-1.0964092	0.7470928	-1.719616	0.670057	-0.37990418	0.3481882	1.6054403	-1.240198	2.9801664	3.3729687	0.9359384	0.34757742	0.8736354	0.93858016	-1.2334793	1.5013713	2.2329829	0.25275442	-1.1371905	0.88398325	2.1280754	-1.4695174	-1.121031	-1.285282	-1.2003793	-0.7487845	-0.8710225	-0.8545691	-1.1621976	3.0355377	1.0552472	0.41235772	1.5612175	1.2109224	-0.58129025	-0.06851531	0.979484	0.8643839	0.2571392	1.9386773
13	-0.3937626	0.5888867	-1.5881871	0.6914121	0.7725668	-0.76102686	-1.1801152	1.7563634	1.0988952	-0.47934863	-1.0871595	0.719182	-1.6547743	0.6606167	-0.32220483	0.3357276	1.5125376	-1.1693482	2.8708658	3.3090177	0.938603	0.33235756	0.7999892	0.8936701	-1.1935966	1.42148	2.164122	0.22207546	-1.1089423	0.8446732	2.0431967	-1.4185729	-1.0680771	-1.2553958	-1.1313478	-0.76043	-0.8929397	-0.7920921	-1.1331174	2.9827564	0.98212725	0.43131027	1.5164149	1.151625	-0.58473563	-0.07007931	0.9671271	0.815604	0.21719506	1.8668146
14	-0.32596964	0.55878687	-1.4425489	0.65393716	0.7228556	-0.6493027	-1.1277108	1.6501076	1.0582297	-0.46702743	-1.0138406	0.6427979	-1.579154	0.58670247	-0.32953745	0.3031818	1.4286666	-1.1337976	2.6550727	3.0364459	0.8343521	0.3403135	0.84564173	0.86133254	-1.1365209	1.342144	2.0328732	0.23699619	-1.090743	0.76830125	1.9416667	-1.3679558	-1.0167401	-1.1504625	-1.0562034	-0.64465696	-0.8095085	-0.784002	-1.0456141	2.7511752	0.9246164	0.364888	1.394339	1.0413585	-0.5360352	-0.0697277	0.8813843	0.76097196	0.22245646	1.774419
15	-0.39256826	0.6110636	-1.6186364	0.7146628	0.79647106	-0.75979346	-1.2154543	1.809859	1.1415117	-0.51007056	-1.1337124	0.71716183	-1.6889995	0.677964	-0.35071743	0.38398442	1.5932515	-1.2550597	2.9739141	3.3865669	0.92529476	0.35752785	0.89067507	0.9456255	-1.2710958	1.4467602	2.260095	0.2433356	-1.1596221	0.8631588	2.1456616	-1.4726474	-1.1099212	-1.3153903	-1.2036273	-0.71395147	-0.907902	-0.8654791	-1.1120592	3.0395026	1.0231401	0.41594267	1.5563177	1.2171974	-0.60433114	-0.079131566	0.96085656	0.8780132	0.23086312	1.930973
16	-0.39984748	0.60242105	-1.597588	0.73625296	0.79220873	-0.7377096	-1.2094164	1.8114121	1.1377147	-0.5001152	-1.1448292	0.7066193	-1.705552	0.6537942	-0.32802573	0.34593666	1.5546533	-1.2290168	2.9369862	3.363386	0.93178743	0.36652073	0.9066537	0.9392726	-1.2560995	1.4412829	2.242855	0.22725555	-1.161931	0.8505787	2.1339233	-1.5138323	-1.0945705	-1.2726415	-1.1650875	-0.74301946	-0.9222516	-0.86813474	-1.1673619	3.0595992	1.0061575	0.41900122	1.558242	1.1690485	-0.6050554	-0.08742427	0.9787167	0.86412215	0.21418568	1.9494113
17	-0.45144585	0.6642436	-1.7619759	0.7612753	0.8119378	-0.8064024	-1.3024575	1.9673928	1.2063473	-0.5586871	-1.1839368	0.75373274	-1.8263593	0.7290787	-0.35794687	0.3951355	1.6972309	-1.2558008	3.1735997	3.6414206	1.0559282	0.36484262	0.88940006	0.96725506	-1.318341	1.5177867	2.3643851	0.23239763	-1.1960039	0.9463336	2.269152	-1.5965636	-1.1589924	-1.4272797	-1.2175452	-0.8001257	-1.0193522	-0.88883704	-1.2123332	3.294053	1.0777329	0.46913594	1.6592278	1.2802721	-0.6582732	-0.09766515	1.040812	0.877945	0.2504684	2.101392
18	-0.4321641	0.66600776	-1.7229313	0.7759237	0.8232005	-0.7878483	-1.254197	1.8912596	1.1816057	-0.53055114	-1.1701897	0.7673988	-1.7899579	0.6925061	-0.35409155	0.37549907	1.6448185	-1.2539823	3.0928571	3.53907	0.98605686	0.37336466	0.8992848	0.9699729	-1.2816875	1.5024165	2.3463845	0.25235048	-1.2225652	0.9103406	2.21335	-1.5447575	-1.1496785	-1.3694596	-1.1896788	-0.7944119	-0.9693702	-0.8665347	-1.2158729	3.2270327	1.0470347	0.42207575	1.6492285	1.2343954	-0.6220702	-0.06744269	1.0144402	0.87296873	0.23794934	2.041008
19	-0.31143442	0.5938103	-1.4846935	0.65351164	0.73427755	-0.6807347	-1.1509188	1.7116959	1.1049389	-0.45111838	-1.0733052	0.6307501	-1.6264527	0.5978278	-0.31764662	0.32809457	1.4792063	-1.1850576	2.756883	3.1684225	0.8515233	0.37524393	0.87168086	0.8870702	-1.1913433	1.3875878	2.1059368	0.23927762	-1.1529102	0.8045567	2.0262027	-1.4222584	-1.059962	-1.1787992	-1.0881783	-0.6646102	-0.8590659	-0.8106001	-1.0644774	2.8402731	0.94584906	0.39753675	1.4299359	1.0840958	-0.55032456	-0.06796346	0.91775614	0.8085256	0.1915142	1.8391639
