	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
15	1.4769268	-1.9613309	-1.1348602	0.5827823	-0.47118828	3.3359709	-0.15936613	-2.2488635	-0.9262407	-4.116084	-0.9546398	-1.0267712	-0.03873179	-0.5396427	-0.545662	1.9324461	-1.6255709	-0.6912432	1.062158	-1.6764201	-0.19578573	0.2929584	-0.27717623	-0.6898432	-2.0254853	2.5993268	-0.72789496	0.71843207	-1.2757818	-1.0031946	0.044618364	-2.9529538	-2.20842	-0.79716784	-0.3852206	0.1928686	0.01560108	2.0122602	2.4760208	0.17743166	-0.48856333	-0.11723838	0.55676883	0.3825848	-0.41920903	-3.486029	-2.0500174	0.56410223	1.8987885	0.48434326	-0.6117042	-0.2322985	-2.3889625	0.269305	-1.7481104
16	1.4596108	-2.0000052	-1.1205312	0.5961949	-0.40490615	3.362097	-0.10920638	-2.2648523	-0.8819687	-4.0655184	-0.96930975	-1.0250883	-0.026266601	-0.47596	-0.5653343	1.9376653	-1.5980321	-0.69171816	1.0336746	-1.667179	-0.14683749	0.34643045	-0.2673311	-0.711298	-1.9570671	2.5591838	-0.7288689	0.6764057	-1.2341944	-1.0317734	0.06832106	-2.9626915	-2.214145	-0.7758454	-0.41981563	0.2185836	0.038800623	2.0743654	2.463368	0.16097961	-0.53625983	-0.09166789	0.54327786	0.37857223	-0.38433456	-3.4904146	-2.0182195	0.5524523	1.8789	0.45889235	-0.65486234	-0.22274116	-2.3475173	0.23420916	-1.7401257
17	1.5584846	-2.109063	-1.2304052	0.62444395	-0.4413181	3.560897	-0.14555053	-2.4284775	-0.90886116	-4.3834105	-1.0258018	-1.0930405	0.011161189	-0.58352214	-0.58394337	2.044354	-1.704986	-0.74759406	1.0907744	-1.689502	-0.22040543	0.31324154	-0.31119218	-0.7422182	-2.062891	2.7692015	-0.76965296	0.7458661	-1.2848736	-1.0727898	0.060563873	-3.1059413	-2.3671389	-0.7889366	-0.445699	0.25981876	0.09915527	2.1612508	2.5995355	0.17522836	-0.56487286	-0.055236667	0.6078591	0.40993053	-0.43500307	-3.6678236	-2.2059822	0.6513979	1.967859	0.4623063	-0.7105159	-0.20549138	-2.4704394	0.25218433	-1.8848048
18	1.5183969	-2.0764935	-1.1906168	0.58616227	-0.40244254	3.4691246	-0.11454556	-2.3399036	-0.90233713	-4.2278748	-1.0350786	-1.0558672	-0.009500988	-0.5493502	-0.56506145	1.9700575	-1.6357535	-0.7134134	1.0837868	-1.6945033	-0.1817917	0.32986525	-0.30791813	-0.7342361	-2.0239975	2.6359894	-0.7280987	0.73777455	-1.2760737	-1.0639644	0.09671303	-3.082955	-2.2820942	-0.80860484	-0.42129967	0.23611748	0.07553399	2.1372664	2.535503	0.14890012	-0.5774588	-0.07192551	0.5482452	0.38187885	-0.38281998	-3.605681	-2.1299925	0.5808888	1.924142	0.44160455	-0.6861901	-0.2332612	-2.4103436	0.24479091	-1.8365017
19	1.3124294	-1.8311113	-1.0282143	0.5856943	-0.42331907	3.1489644	-0.11609953	-2.142881	-0.8148855	-3.8009095	-0.883745	-0.99076146	-0.01750985	-0.44157776	-0.5541601	1.7852762	-1.4606872	-0.7266468	0.9726717	-1.5231749	-0.08452852	0.27305272	-0.27326432	-0.6178499	-1.8571718	2.40515	-0.74291253	0.59944594	-1.1365463	-0.9741974	0.029916236	-2.670047	-2.0357542	-0.68213457	-0.3280144	0.15463857	0.008728308	1.8958809	2.2643158	0.20188615	-0.4787617	-0.10013824	0.53213024	0.3770348	-0.39679584	-3.1662414	-1.9068335	0.5221872	1.7692603	0.44061902	-0.6314063	-0.17658328	-2.1542196	0.22745991	-1.6694607
20	1.4370301	-1.9578185	-1.1083384	0.5767533	-0.40243405	3.3079345	-0.11111142	-2.2246473	-0.8499973	-3.9753451	-0.9491051	-1.023307	0.012443966	-0.49015218	-0.54608977	1.8859162	-1.5407369	-0.65901315	0.97995085	-1.5766246	-0.14453495	0.29607	-0.2914396	-0.6783366	-1.9062349	2.5105379	-0.69435745	0.66320676	-1.185134	-0.9903627	0.06884778	-2.882706	-2.1365488	-0.75375426	-0.41300297	0.21539755	0.047238976	2.015093	2.3739967	0.16468836	-0.52339983	-0.056397047	0.54587483	0.36146542	-0.37860304	-3.3657794	-1.9814476	0.53824824	1.8260022	0.44131777	-0.6462102	-0.199235	-2.280521	0.24458978	-1.705317
21	1.4462796	-1.914612	-1.096885	0.54895073	-0.41896337	3.2382736	-0.093916915	-2.1702387	-0.84244144	-3.9318352	-0.92407143	-0.933358	0.0006947974	-0.47911105	-0.5559295	1.8305947	-1.5533804	-0.6356781	0.97350985	-1.5603191	-0.20498367	0.3222526	-0.24787104	-0.6950913	-1.8643738	2.4890122	-0.693331	0.6706426	-1.1881895	-0.98559433	0.042111345	-2.8438535	-2.1308942	-0.72707003	-0.41573426	0.24701053	0.03952456	2.0089724	2.3362024	0.17511627	-0.5129592	-0.06009375	0.5362084	0.3633085	-0.3588899	-3.3398683	-1.9480022	0.5666392	1.7815219	0.44650307	-0.61796534	-0.23181625	-2.2455087	0.21136843	-1.6788231
22	1.4566138	-1.9560194	-1.1106215	0.5964451	-0.4607043	3.3651516	-0.11243068	-2.2607439	-0.8534134	-4.078005	-1.0014275	-1.0113499	0.016100321	-0.48459876	-0.6023546	1.9423343	-1.5998709	-0.6573712	0.98780304	-1.6632408	-0.20324145	0.30171227	-0.2648883	-0.69903	-1.9682571	2.5741627	-0.6959939	0.7122641	-1.1981218	-1.0217816	0.069591366	-2.9875362	-2.1955109	-0.7797191	-0.44259787	0.22911727	0.010295955	2.0948145	2.4570336	0.14444755	-0.5472809	-0.09435005	0.53546804	0.36678326	-0.41133007	-3.4639857	-2.0339432	0.5591823	1.8350136	0.48882675	-0.63888663	-0.21641824	-2.3348584	0.2530836	-1.7520313
23	1.3470932	-1.8758904	-1.0563998	0.55611384	-0.41124615	3.1572115	-0.09616058	-2.1445043	-0.8031813	-3.8126757	-0.8852677	-0.97328085	-0.015940461	-0.4622991	-0.54537946	1.7768681	-1.4926829	-0.6667165	0.9526804	-1.5212425	-0.13041154	0.2695027	-0.26733562	-0.65233153	-1.8473572	2.4475455	-0.72871906	0.63602775	-1.1566881	-0.99061996	0.046274588	-2.6993215	-2.059683	-0.6933737	-0.3739778	0.20329161	0.054763414	1.8835522	2.240647	0.17193522	-0.48912907	-0.059635237	0.53611684	0.3823695	-0.36769477	-3.203538	-1.9021134	0.5680698	1.7492435	0.41222954	-0.6345649	-0.18484847	-2.1863854	0.22299042	-1.6631
24	1.427977	-1.9355325	-1.1169319	0.60007894	-0.41251692	3.2979968	-0.11620969	-2.1932375	-0.8820089	-3.972519	-0.9403026	-1.0123051	-0.014965746	-0.48561388	-0.53460497	1.9097005	-1.5350174	-0.68492043	0.9873632	-1.593565	-0.13828105	0.31866124	-0.29044315	-0.684248	-1.9310882	2.4953797	-0.7035872	0.6314316	-1.2026765	-0.9851566	0.04749143	-2.8765109	-2.1629875	-0.763027	-0.38236484	0.19947614	0.028812949	2.0220177	2.4176307	0.1734919	-0.48831335	-0.07085602	0.5542025	0.3719847	-0.3816747	-3.3664665	-2.0022452	0.5400961	1.842823	0.4494016	-0.63033444	-0.19528982	-2.3047466	0.26100543	-1.7283804
