	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99
10	-1.1980046	0.15887606	-0.104486786	1.5251994	-2.4518433	1.7386619	-2.019019	1.0715802	0.03974531	-3.4994612	-0.36136186	1.4963801	-0.68515897	1.370705	2.2525399	0.7133042	-2.635195	-0.40131444	-0.63630843	-1.4488231	0.41602266	1.2340213	2.9396296	3.0113664	-0.9021837	0.15979137	0.2643039	-0.057926327	1.4025797	1.1141256	0.7274389	1.0531108	-0.3338874	2.0435958	-2.5297732	0.26233286	0.1560285	-0.6017715	2.2488785	-0.41008928	-0.17625889	-0.7211902	-0.9191738	-0.45640656	-1.3679833	-0.5160828	0.4982534	0.10972074	0.44178253	-0.2107337	-0.10709821	0.47989157	0.5086375	0.46606463	0.0155515885	1.566444	-0.023801353	0.57658917	0.42435277	1.3448778	0.5869667	0.28183103	-2.5822687	1.5888865	0.7567394	0.45695305	1.9135925	-2.8688211	0.8275531	2.3240054	0.5165865	-1.1990962	-1.8132898	-0.00761372	1.2605975	1.9036568	1.3760827	-0.8302182	-0.75204676	-0.50699896	0.53206664	-0.58538157	-0.2753945	0.94860053	-1.7912517	-1.7213131	0.38902372	2.2268755	-1.1991153	-0.8043392	-1.9545239	-0.95207244	-0.9389993	-2.035484	-0.41718304	-1.4158775	0.16684608	-1.4415802	-0.8965327	-2.0564165
11	-1.1082481	0.14646657	-0.10464428	1.3891704	-2.261088	1.6193556	-1.8353714	0.9788998	0.03356292	-3.1970809	-0.2983072	1.3796523	-0.6688012	1.2588384	2.0631435	0.6281251	-2.3940768	-0.37386826	-0.5755523	-1.332651	0.4030162	1.1316135	2.6791215	2.7654092	-0.82899064	0.1360138	0.25408548	-0.044317327	1.2574713	1.0207391	0.6776418	0.9694842	-0.30696815	1.8759874	-2.318268	0.26192626	0.15282433	-0.5627262	2.0375073	-0.3650007	-0.1783877	-0.68801016	-0.8450149	-0.4426217	-1.2673578	-0.4648646	0.48779228	0.11224234	0.4118156	-0.19009326	-0.08452408	0.43423074	0.46297878	0.4401194	0.00422082	1.4576927	-0.020354606	0.5058859	0.3859681	1.2235447	0.5508274	0.25002944	-2.3612928	1.4638627	0.6734455	0.41088718	1.7493864	-2.6274767	0.7660161	2.136768	0.47003493	-1.0865633	-1.6742976	-0.015444821	1.1696975	1.7346176	1.2697035	-0.7374121	-0.7095159	-0.47961223	0.478157	-0.5121513	-0.2666884	0.86732453	-1.618429	-1.5717654	0.33954	2.045376	-1.1028341	-0.73182124	-1.7969573	-0.88316834	-0.87094694	-1.8574429	-0.3928036	-1.2978036	0.17003377	-1.309295	-0.8176407	-1.8786529
12	-1.198384	0.1355393	-0.062151242	1.5138826	-2.4722211	1.7858273	-2.0360181	1.0872099	0.07444358	-3.4846442	-0.34430626	1.5382581	-0.6917037	1.3877	2.2275195	0.7225606	-2.6358588	-0.4000496	-0.6022824	-1.4314547	0.4284689	1.2761315	2.946615	3.0173326	-0.91060036	0.16491881	0.2423844	-0.061698258	1.4209185	1.0950644	0.7032418	0.99493366	-0.34684914	2.0461519	-2.511367	0.3037382	0.16289818	-0.63606834	2.2437775	-0.37885922	-0.164819	-0.7283682	-0.9202966	-0.48550475	-1.372817	-0.50832105	0.45624322	0.13641207	0.43917856	-0.23279658	-0.05271072	0.48998535	0.46642148	0.46298465	-0.0343673	1.5444773	-0.03185494	0.5672589	0.4037915	1.3337654	0.59002274	0.28266543	-2.5555263	1.585657	0.7361302	0.45975754	1.915856	-2.8255136	0.8205012	2.3347557	0.53321314	-1.1671313	-1.819537	0.053685017	1.2817804	1.8568994	1.3765562	-0.8417192	-0.7776741	-0.49632782	0.53457326	-0.6101145	-0.27602723	0.9134474	-1.7854389	-1.6762182	0.37658203	2.1861193	-1.1647574	-0.77808446	-1.9443393	-0.932999	-0.95519495	-2.0158439	-0.42892483	-1.402631	0.21384789	-1.4548844	-0.91770786	-2.0442863
13	-1.142784	0.16086751	-0.106664054	1.4451169	-2.3460276	1.667403	-1.9251944	1.0078881	0.034578405	-3.3284903	-0.3417817	1.4151089	-0.67409635	1.2914721	2.1441267	0.68016183	-2.4978285	-0.3937638	-0.6126444	-1.3900146	0.39909005	1.1651572	2.7916093	2.8831537	-0.86578935	0.15644506	0.27050704	-0.05622548	1.3264756	1.0521394	0.68937653	0.9999931	-0.30987108	1.9388797	-2.4079468	0.25792167	0.16144907	-0.5629125	2.1215591	-0.38474473	-0.16292182	-0.6982913	-0.87616	-0.45929393	-1.3064626	-0.4918173	0.47884512	0.114558175	0.41073313	-0.19456147	-0.105703086	0.4608879	0.47386226	0.45522225	-0.0005130159	1.4977372	-0.012714202	0.53087527	0.40580243	1.2762163	0.5623714	0.26238692	-2.4675825	1.5051733	0.6955699	0.42311618	1.8116755	-2.725439	0.777919	2.2145998	0.48450735	-1.1221333	-1.7409763	-0.0076191137	1.2006356	1.8120567	1.3134516	-0.77173823	-0.7083036	-0.49551067	0.4942611	-0.53830504	-0.2755986	0.90166986	-1.6864431	-1.6294729	0.35224792	2.1149302	-1.1299447	-0.766847	-1.8726363	-0.9245581	-0.8959522	-1.9366926	-0.40710527	-1.3409159	0.18566816	-1.3477054	-0.8509119	-1.953472
14	-1.0658491	0.15061153	-0.083420135	1.3772279	-2.180479	1.5385466	-1.8014537	0.9724773	0.044352673	-3.1139102	-0.33846012	1.327922	-0.65301067	1.2428534	2.0227745	0.6747137	-2.3813777	-0.36787918	-0.5732875	-1.2824368	0.39904803	1.0961504	2.615759	2.6832066	-0.7960944	0.15334475	0.23368597	-0.020919772	1.2244018	1.0263613	0.67356026	0.95966107	-0.28861552	1.790431	-2.2409086	0.20351113	0.12526418	-0.535622	2.0223308	-0.3974234	-0.15474676	-0.6549416	-0.85370743	-0.40281197	-1.2158282	-0.41095805	0.42842612	0.08139259	0.38684314	-0.21136868	-0.09673832	0.41685456	0.42497876	0.4377879	0.008794106	1.424716	-0.004385759	0.5335711	0.37473655	1.1623534	0.5095133	0.24541472	-2.3287077	1.4178501	0.6933947	0.4019923	1.7066467	-2.5879285	0.7428988	2.0952766	0.51152176	-1.0519543	-1.6607031	-0.029090399	1.0980009	1.728605	1.2651466	-0.74599534	-0.72357535	-0.44770598	0.48063475	-0.5124508	-0.22970212	0.8752359	-1.594372	-1.5611533	0.36824095	1.989419	-1.0882055	-0.6988906	-1.7380234	-0.8395186	-0.8232761	-1.8335836	-0.38991123	-1.296886	0.13525482	-1.2885537	-0.77803344	-1.8447691
15	-1.1860535	0.09310067	-0.043490637	1.4991337	-2.4342937	1.720841	-1.9937803	1.1206536	0.011729972	-3.4563494	-0.37717438	1.5073545	-0.717691	1.3861257	2.1987112	0.7265535	-2.6281083	-0.39058927	-0.6082011	-1.4024186	0.37251416	1.2471769	2.9273555	3.0191069	-0.9027462	0.18861958	0.27620974	-0.05389516	1.3615928	1.1297281	0.7023131	1.0156276	-0.30105883	2.0200608	-2.482403	0.28327534	0.17477714	-0.615561	2.2418303	-0.4205501	-0.17267214	-0.72265226	-0.85472256	-0.49552265	-1.3349941	-0.5445321	0.45294577	0.11613727	0.43270564	-0.24024904	-0.097232595	0.48741367	0.4874455	0.45459908	0.0216465	1.5736831	-0.023302877	0.5671394	0.4102192	1.3226069	0.585831	0.29412046	-2.5603392	1.5424656	0.74486977	0.4692984	1.8553407	-2.8197055	0.806798	2.2895057	0.52405125	-1.1608137	-1.8295407	0.07365819	1.2035807	1.8620799	1.3578111	-0.8280131	-0.7404265	-0.48437554	0.5194343	-0.5918215	-0.32158586	0.92098045	-1.7657746	-1.7096484	0.36073023	2.2164774	-1.1707973	-0.74657613	-1.9281578	-0.94047225	-0.94173986	-1.9955212	-0.4723553	-1.4111072	0.21841253	-1.3790845	-0.9032987	-2.0127053
16	-1.1731123	0.16114812	-0.08909517	1.4996029	-2.4066043	1.7122737	-1.9982247	1.0806509	0.05469097	-3.4257085	-0.35451207	1.498739	-0.71096283	1.368849	2.2044902	0.7073539	-2.601151	-0.3845662	-0.62643886	-1.417429	0.4080091	1.2321165	2.8935573	2.9651644	-0.8995846	0.16665746	0.23889202	-0.040137976	1.3759378	1.1073934	0.70325404	1.0221549	-0.34032294	1.9943094	-2.4602456	0.27591005	0.15907381	-0.61270165	2.2125452	-0.39954707	-0.18334687	-0.73099667	-0.9152764	-0.46183679	-1.3445528	-0.4846623	0.48162854	0.12920952	0.43154398	-0.23061474	-0.09536575	0.4673176	0.4771842	0.47862384	-0.011908267	1.5585805	-0.007623884	0.5451087	0.41073248	1.3084663	0.58832437	0.26509535	-2.5442915	1.5720292	0.7583039	0.4559105	1.8831605	-2.8242242	0.8249224	2.3004756	0.5183662	-1.1583145	-1.7991645	0.0063966596	1.2214743	1.8462877	1.3626957	-0.8164632	-0.7750096	-0.5096971	0.510201	-0.571364	-0.26960874	0.9406017	-1.7493488	-1.6799854	0.3843694	2.1732855	-1.1811534	-0.787788	-1.9291631	-0.93609554	-0.9393906	-1.981602	-0.42768693	-1.3753371	0.190351	-1.4241469	-0.88357776	-2.0092053
17	-1.2431005	0.15120207	-0.10646457	1.5922891	-2.559736	1.8098959	-2.0910347	1.120367	0.020649688	-3.685433	-0.38939387	1.5003104	-0.71782357	1.4105291	2.3519409	0.74074274	-2.729576	-0.4226065	-0.6830822	-1.478654	0.41857424	1.2498518	3.0425472	3.1382794	-0.9458517	0.1992716	0.3494414	-0.10842076	1.4382104	1.1535634	0.79100925	1.0988294	-0.32586372	2.0854719	-2.6552334	0.23665296	0.16042128	-0.6002235	2.3520288	-0.465894	-0.14071044	-0.75699896	-0.9703699	-0.5125837	-1.4575208	-0.5601199	0.5118658	0.14824052	0.44546342	-0.20183462	-0.10343054	0.4961428	0.52794254	0.47861496	0.01817079	1.6259581	-0.022454774	0.608175	0.45388415	1.3959348	0.57933056	0.2826513	-2.7104583	1.6469097	0.74034417	0.48910803	2.011211	-2.9724417	0.84072685	2.410336	0.54799527	-1.2333293	-1.9341785	-0.009333559	1.2991831	2.0143332	1.4267163	-0.89610624	-0.7360546	-0.5195412	0.5071381	-0.5914298	-0.30498713	1.0035461	-1.8681141	-1.8054855	0.44102415	2.3489783	-1.2010092	-0.84168553	-2.0374923	-1.0089792	-0.97050595	-2.1499577	-0.42964485	-1.5069692	0.19623335	-1.4709408	-0.9393125	-2.1445775
18	-1.2236302	0.18035334	-0.11476634	1.5509263	-2.4826677	1.780883	-2.0683098	1.1013346	0.03005178	-3.5703034	-0.3782352	1.5270982	-0.7327379	1.3932147	2.266155	0.7376919	-2.6885843	-0.43504235	-0.64483386	-1.4717954	0.40183562	1.2786896	2.9979322	3.105786	-0.92763275	0.17169641	0.27510333	-0.054508984	1.4251343	1.1342108	0.7281077	1.0685538	-0.34559408	2.0737154	-2.5697923	0.2959487	0.19199242	-0.60974306	2.2865071	-0.42145088	-0.17622122	-0.7669352	-0.94847596	-0.5067657	-1.3858306	-0.5070572	0.5119379	0.13604704	0.4378851	-0.22127819	-0.106226966	0.50492126	0.49590847	0.5127697	0.00010187883	1.6028268	-0.0064875386	0.5546518	0.41699743	1.3589784	0.6043413	0.2639781	-2.6455667	1.6057961	0.7641394	0.4685457	1.9417055	-2.9330661	0.837728	2.366618	0.5213224	-1.1964303	-1.8732531	-0.0020355787	1.2612114	1.9257735	1.4062724	-0.8384765	-0.7629423	-0.5372104	0.52187306	-0.5854346	-0.27231812	0.9623715	-1.7966001	-1.7590593	0.38798696	2.2476876	-1.2214845	-0.8136171	-1.9979463	-0.9845162	-0.9696366	-2.0712557	-0.4286516	-1.4302859	0.21087752	-1.4683467	-0.90178055	-2.09055
19	-1.1067368	0.1450305	-0.07233791	1.4348574	-2.2490342	1.592465	-1.84264	0.99201816	0.04289528	-3.1817415	-0.35659683	1.3595722	-0.66359335	1.2892667	2.1003215	0.68052375	-2.4498625	-0.38841912	-0.60187703	-1.3137243	0.44036594	1.115438	2.687351	2.7481632	-0.80340886	0.15002418	0.25336406	-0.012273917	1.2472911	1.0614724	0.69890434	1.0008438	-0.2730501	1.8423092	-2.3251116	0.20731086	0.11971138	-0.54102814	2.0629647	-0.4140935	-0.16500929	-0.6717134	-0.8749476	-0.40540355	-1.2520175	-0.41777956	0.4490119	0.057803012	0.40343833	-0.217303	-0.106584206	0.41631982	0.44614056	0.4478547	0.021714643	1.4678494	-0.0048998077	0.5674883	0.38597277	1.1778971	0.5112681	0.2484742	-2.3863957	1.458648	0.72312886	0.41472507	1.768433	-2.6733031	0.76555634	2.161204	0.54260564	-1.0874661	-1.7001989	-0.03806474	1.1477853	1.7866721	1.3120095	-0.77134067	-0.7669668	-0.43865618	0.4965968	-0.5269787	-0.24333593	0.9196024	-1.6347437	-1.6142267	0.36829212	2.0546677	-1.1325002	-0.7251993	-1.7769451	-0.85780364	-0.8235341	-1.8948206	-0.3964817	-1.3520216	0.11753313	-1.34017	-0.7999052	-1.9017221
