	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59
10	3.9691257	-0.75803566	0.19112498	2.0015662	-0.28013855	-1.9263598	-0.7174783	-1.9515233	-3.6293173	-0.30031803	-2.0184312	-0.47061408	-1.0167462	-1.6953385	-0.5281284	1.6930565	-1.1624255	-0.92023385	0.8514847	0.47365427	1.4960515	1.414634	1.9990622	-1.066808	-1.4429449	1.367601	1.8602133	-1.249725	3.4359887	0.59430575	-0.8161058	-1.2963446	-2.706783	1.1834584	0.374817	-0.3246885	-2.5786805	-1.8649452	1.8486351	-2.1414106	1.0025414	-0.12017046	3.1816664	0.5249736	-1.4092802	3.8286843	2.5891678	0.7025821	1.3475115	-0.7756565	0.557514	1.8293824	0.3389705	-0.10735118	-2.762772	-3.0773299	0.0565195	0.30823916	-1.3290167	0.08652096
11	3.6161366	-0.69869107	0.16149284	1.8215806	-0.25413015	-1.7454051	-0.6438175	-1.7855079	-3.2816925	-0.27322593	-1.8455242	-0.4346305	-0.92759603	-1.5631375	-0.48703468	1.5312493	-1.060857	-0.8181954	0.7726902	0.42647246	1.3406413	1.3182553	1.8187205	-0.9819562	-1.2999084	1.2408507	1.7280623	-1.146417	3.1179342	0.55167586	-0.77324605	-1.1522582	-2.4723766	1.0895933	0.32865205	-0.28582525	-2.3645847	-1.6883978	1.6976856	-1.956141	0.9122874	-0.09123023	2.9085114	0.4828368	-1.2863798	3.4893737	2.356203	0.6283627	1.200152	-0.73297775	0.5192513	1.6550168	0.30583438	-0.08747226	-2.522226	-2.8044865	0.059806686	0.28465796	-1.2128901	0.07874058
12	3.9162202	-0.65516526	0.2167787	1.9713426	-0.32020855	-1.923684	-0.6621996	-1.9251091	-3.606455	-0.32935902	-2.0460684	-0.5185323	-0.9708346	-1.7692509	-0.5140552	1.6736794	-1.194827	-0.92115295	0.8287666	0.55063295	1.4189727	1.3913021	1.9728537	-1.0293347	-1.4041456	1.3113317	1.8484877	-1.2487322	3.3445144	0.6572567	-0.85028625	-1.303059	-2.6581578	1.214649	0.3879484	-0.33147183	-2.509307	-1.8840932	1.8065679	-2.048708	0.89054763	-0.101740405	3.1077335	0.571757	-1.3941365	3.7909157	2.626716	0.659223	1.2709957	-0.827073	0.553528	1.7705976	0.39799523	-0.123535395	-2.7590988	-3.0688553	0.06892498	0.34185317	-1.3768815	0.09801666
13	3.7567494	-0.7217233	0.17534515	1.8927739	-0.25991446	-1.7956392	-0.6767848	-1.8485175	-3.4057899	-0.28452477	-1.9054972	-0.43499768	-0.95517826	-1.5861424	-0.51734203	1.5681435	-1.0840541	-0.8588166	0.80966526	0.43131706	1.4075651	1.3605984	1.8795434	-1.0291176	-1.366239	1.2783403	1.7781311	-1.1661239	3.2425451	0.5536148	-0.79721373	-1.2003309	-2.55532	1.1065909	0.33928472	-0.27196243	-2.4528182	-1.7258121	1.7640557	-2.0285869	0.9506225	-0.096749954	3.0128083	0.48419365	-1.3104098	3.6221616	2.4150083	0.66578054	1.2555039	-0.73787993	0.51473206	1.7113252	0.3119189	-0.07900952	-2.6045973	-2.8702297	0.07445432	0.28172153	-1.2244915	0.083971575
14	3.5124965	-0.7479338	0.14543971	1.8032491	-0.2561678	-1.676238	-0.6980139	-1.7762518	-3.1579337	-0.26433355	-1.8432294	-0.3929497	-0.9022916	-1.4261109	-0.45273733	1.4034003	-1.017532	-0.8250326	0.7827145	0.42512923	1.3460479	1.1989325	1.8157458	-0.9484458	-1.2740169	1.2133697	1.6407194	-1.0586385	3.031646	0.5030899	-0.7772139	-1.1394174	-2.3689747	1.0052127	0.37326744	-0.24271172	-2.2612357	-1.6281688	1.6321254	-1.9325593	0.9579106	-0.097141415	2.7764928	0.41658655	-1.1473018	3.3628395	2.3038034	0.6317239	1.147282	-0.69668406	0.46528807	1.6351953	0.25064674	-0.12040355	-2.3581867	-2.6595058	0.019129734	0.26835236	-1.0669961	0.010236486
15	3.8774567	-0.77861893	0.15208516	1.9773805	-0.29109094	-1.9005065	-0.7499174	-1.9468237	-3.5216103	-0.3281782	-2.0399396	-0.49846637	-0.9739749	-1.6677063	-0.49069732	1.5650312	-1.1004876	-0.9524541	0.88108295	0.5175621	1.4404426	1.3663774	1.997324	-1.0067443	-1.4187515	1.338482	1.8136152	-1.1543516	3.3123472	0.56970924	-0.82709396	-1.2876453	-2.6365967	1.2071143	0.3747226	-0.30940086	-2.489853	-1.8720887	1.8117017	-2.112647	0.99689966	-0.091817915	3.020854	0.48929432	-1.3252233	3.695166	2.5771067	0.7051057	1.2819622	-0.7686736	0.52049005	1.7603647	0.34686822	-0.11167828	-2.6298037	-2.9281552	0.014460201	0.33193663	-1.22397	0.09564663
16	3.8621588	-0.77530986	0.1639556	1.9717389	-0.28943065	-1.8717574	-0.7428487	-1.930082	-3.486405	-0.28539383	-2.009007	-0.46831223	-0.9841082	-1.6373256	-0.5207224	1.6121047	-1.1198756	-0.9024319	0.8559586	0.47947007	1.4677767	1.3598517	1.9928242	-1.0358582	-1.3977197	1.338555	1.8241559	-1.186842	3.353689	0.55971056	-0.8433809	-1.2764307	-2.634848	1.1601462	0.36619526	-0.3098255	-2.5055175	-1.811869	1.7990097	-2.1098046	1.0051003	-0.1088961	3.086389	0.49737844	-1.3387898	3.7138894	2.5448513	0.6908079	1.2811573	-0.7786975	0.51763266	1.7762027	0.3247237	-0.111038476	-2.659822	-2.9504514	0.026314473	0.31103563	-1.2517496	0.059314076
17	4.0922227	-0.8122942	0.16872612	2.1048157	-0.30893523	-1.9836594	-0.7838588	-2.0224028	-3.7290862	-0.33190906	-2.1279054	-0.4749423	-1.0529375	-1.7530004	-0.5447663	1.7291427	-1.1999136	-0.9686875	0.91787046	0.51503956	1.5848849	1.4511632	2.0670424	-1.1158519	-1.5159794	1.4319621	1.9072664	-1.2587171	3.5328505	0.61146975	-0.8247026	-1.3588561	-2.8146133	1.241511	0.3809313	-0.33983576	-2.6880794	-2.0105042	1.899048	-2.2712543	1.0781206	-0.15093713	3.2951632	0.52828735	-1.4452305	3.9740021	2.690009	0.74327266	1.4187422	-0.78411824	0.55867946	1.9046577	0.3711266	-0.12105282	-2.844224	-3.1643095	0.04905726	0.32267576	-1.3091745	0.08015184
18	3.9964423	-0.81474876	0.15134546	2.0473082	-0.3225915	-1.9077803	-0.7468183	-1.9721081	-3.619589	-0.30491346	-2.0783513	-0.4713512	-1.0233655	-1.732686	-0.5606521	1.6729757	-1.1594342	-0.91790974	0.8704024	0.4828723	1.4894428	1.4385014	2.033703	-1.1169114	-1.4606076	1.3703591	1.9023832	-1.2387515	3.4609349	0.5797992	-0.84303755	-1.3042011	-2.758275	1.2195072	0.35415912	-0.32992992	-2.624655	-1.8612381	1.8693004	-2.1982925	1.0305935	-0.11936354	3.2066557	0.52194804	-1.402738	3.865667	2.6150508	0.7151207	1.3414767	-0.8420104	0.5635554	1.8113538	0.37800053	-0.10924318	-2.781329	-3.0732396	0.07375649	0.31993985	-1.2937968	0.10065772
19	3.6540813	-0.7826179	0.16813959	1.874451	-0.24226372	-1.7242203	-0.73488015	-1.8468174	-3.286127	-0.2951426	-1.9169828	-0.37582332	-0.9357081	-1.4723952	-0.4660369	1.4621624	-1.0688225	-0.86224455	0.8134157	0.42323264	1.415628	1.2715732	1.8596628	-0.9945006	-1.3341613	1.2555747	1.7026956	-1.0942932	3.1395054	0.53163224	-0.8282863	-1.1521349	-2.4431336	1.0224657	0.37704948	-0.22301291	-2.362663	-1.7108349	1.6886142	-1.9979179	1.0061618	-0.12690787	2.9054542	0.42060745	-1.1786741	3.5125468	2.3721523	0.6536074	1.2177262	-0.67904985	0.4707306	1.7316455	0.23954256	-0.101894654	-2.450999	-2.7568405	0.026335472	0.26175597	-1.0863357	0.005641158
